ID,Description,variationId,behaviorJudgeId,ezStateBehaviorType_old,refType,refId,sfxVariationId,stamina,mp,category,heroPoint
0,"テスト用",0,0,0,0,0,-1,0,0,0,0
5,"無効行動【システム】",0,0,0,0,4,-1,0,0,0,0
7,"PC_SOSsign【システム】",0,0,3,2,4,29,0,0,0,0
12,"kickout【システム】",0,0,0,2,6,-1,0,0,0,0
13,"leaveSession【システム】",0,0,0,2,7,32,0,0,0,0
15,"Black_Soulsign【システム】",0,0,0,2,10,30,0,0,0,0
16,"乱入【システム】",0,0,0,2,11,31,0,0,0,0
17,"bloodSign【システム】",0,0,0,2,12,-1,0,0,0,0
50,"かがり火効果",0,0,0,1,50,-1,0,0,0,0
101,"ゴースト弱体化【システム】",0,0,0,2,8,-1,0,0,0,0
102,"ブラック強化【システム】",0,0,0,2,9,-1,0,0,0,0
201,"【ＱＷＣ】エリア_ＮＰＣ_＋1",0,0,0,2,201,-1,0,0,0,0
202,"【ＱＷＣ】エリア_ＮＰＣ_＋2",0,0,0,2,202,-1,0,0,0,0
203,"【ＱＷＣ】エリア_ＮＰＣ_＋3",0,0,0,2,203,-1,0,0,0,0
206,"【ＱＷＣ】エリア_ＮＰＣ_－1",0,0,0,2,206,-1,0,0,0,0
207,"【ＱＷＣ】エリア_ＮＰＣ_－2",0,0,0,2,207,-1,0,0,0,0
208,"【ＱＷＣ】エリア_ＮＰＣ_－3",0,0,0,2,208,-1,0,0,0,0
211,"【ＱＷＣ】エリア_ブラック_＋1",0,0,0,2,211,-1,0,0,0,0
212,"【ＱＷＣ】エリア_ブラック_＋2",0,0,0,2,212,-1,0,0,0,0
221,"【ＱＷＣ】エリア_ホワイト_＋1",0,0,0,2,221,-1,0,0,0,0
222,"【ＱＷＣ】エリア_ホワイト_＋2",0,0,0,2,222,-1,0,0,0,0
231,"【ＱＷＣ】エリア_グレイ_＋1",0,0,0,2,231,-1,0,0,0,0
232,"【ＱＷＣ】エリア_グレイ_＋2",0,0,0,2,232,-1,0,0,0,0
236,"【ＱＷＣ】エリア_グレイ_－1",0,0,0,2,236,-1,0,0,0,0
237,"【ＱＷＣ】エリア_グレイ_－2",0,0,0,2,237,-1,0,0,0,0
311,"【ＱＷＣ】プレイヤー_ブラック_＋1",0,0,0,2,311,-1,0,0,0,0
312,"【ＱＷＣ】プレイヤー_ブラック_＋2",0,0,0,2,312,-1,0,0,0,0
321,"【ＱＷＣ】プレイヤー_ホワイト_＋1",0,0,0,2,321,-1,0,0,0,0
322,"【ＱＷＣ】プレイヤー_ホワイト_＋2",0,0,0,2,322,-1,0,0,0,0
331,"【ＱＷＣ】プレイヤー_グレイ_＋1",0,0,0,2,331,-1,0,0,0,0
332,"【ＱＷＣ】プレイヤー_グレイ_＋2",0,0,0,2,332,-1,0,0,0,0
336,"【ＱＷＣ】プレイヤー_グレイ_－1",0,0,0,2,336,-1,0,0,0,0
337,"【ＱＷＣ】プレイヤー_グレイ_－2",0,0,0,2,337,-1,0,0,0,0
5000,"城下1　燃える死体（元・王城かがり火　小）",0,0,0,0,5000,0,0,0,0,0
5010,"城下1　閉門ダメージ",0,0,0,0,5010,0,0,0,0,0
5020,"城下1　燃えるゴロゴロ鉄球",0,0,0,0,5020,0,0,0,0,0
5030,"城下1　燃える鉄球",0,0,0,0,5030,0,0,0,0,0
5040,"【SP】 ダンジョン　ペンデュラム",0,0,0,0,5040,0,0,0,0,0
5041,"【SP】 ダンジョン ギロチン（ペンデュラム 無敵無効無し版）",0,0,0,0,5041,0,0,0,0,0
5050,"王城1　大鉄球",0,0,0,0,5050,0,0,0,0,0
5060,"王城1　エレベータ天井槍",0,0,0,0,5060,0,0,0,0,0
5070,"【SP】 ダンジョン 飛び出す矢",0,0,0,1,2900000,0,0,0,0,0
5071,"【SP】 聖堂街A　仕掛け銃",0,0,0,1,2400050,0,0,0,0,0
5080,"王城1　火を噴くガーゴイル像",0,0,0,1,1021,0,0,0,0,0
5090,"廃都　溶岩ダメージ【指輪で無効】",0,0,0,0,5090,0,0,0,0,0
5091,"廃都　溶岩ダメージ【指輪も貫通】",0,0,0,0,5091,0,0,0,0,0
5100,"墓地1　トゲ橋の針",0,0,0,0,5100,0,0,0,0,0
5110,"【SP】 ダンジョン　鉄球",0,0,0,0,5110,0,0,0,0,0
5120,"墓地1　石像の針",0,0,0,0,5120,0,0,0,0,0
5130,"ヘルカイト_a3000ファイアブレス",0,0,0,0,5130,0,0,0,0,0
5140,"ヘルカイト_a3001ファイアブレス（強）",0,0,0,0,5140,0,0,0,0,0
5150,"ヘルカイト_a3002飛び立ちブレス",0,0,0,0,5150,0,0,0,0,0
5160,"ヘルカイト_a3009ブレスしながら前方移動＆反転",0,0,0,0,5160,0,0,0,0,0
5170,"ヘルカイト_a3010上昇＆下方ブレス",0,0,0,0,5170,0,0,0,0,0
5180,"廃都　封印破壊衝撃波",0,0,0,0,5180,0,0,0,0,0
5190,"ヘルカイト_a7004B地点ブレス3",0,0,0,0,5190,0,0,0,0,0
5200,"ヘルカイト_a7005A地点→B地点移動",0,0,0,0,5200,0,0,0,0,0
5210,"ヘルカイト_a7008B地点ブレス1",0,0,0,0,5210,0,0,0,0,0
5220,"ヘルカイト_a7009B地点ブレス2",0,0,0,0,5220,0,0,0,0,0
5230,"ヘルカイト_a7011B地点飛び立ちブレス2",0,0,0,0,5230,0,0,0,0,0
5300,"c2860_巨人奴隷_イベント投擲１",0,0,0,1,28610,0,0,0,0,0
