ID,Description,atkId_Bullet,sfxId_Bullet,sfxId_Hit,sfxId_Flick,life,dist,shootInterval,gravityInRange,gravityOutRange,hormingStopRange,initVellocity,accelInRange,accelOutRange,maxVellocity,minVellocity,accelTime,homingBeginDist,hitRadius,hitRadiusMax,spreadTime,expDelay,hormingOffsetRange,dmgHitRecordLifeTime,externalForce,spEffectIDForShooter,autoSearchNPCThinkID,HitBulletID,spEffectId0,spEffectId1,spEffectId2,spEffectId3,spEffectId4,numShoot,homingAngle,shootAngle,shootAngleInterval,shootAngleXInterval,damageDamp,spelDamageDamp,fireDamageDamp,thunderDamageDamp,staminaDamp,knockbackDamp,shootAngleXZ,lockShootLimitAng,isPenetrate,prevVelocityDirRate,atkAttribute,spAttribute,Material_AttackType,Material_AttackMaterial,Material_Size,launchConditionType,FollowType:3,EmittePosType:3,isAttackSFX:1,isEndlessHit:1,isPenetrateMap:1,isHitBothTeam:1,isUseSharedHitList:1,isUseMultiDmyPolyIfPlace:1,attachEffectType:2,isHitForceMagic:1,isIgnoreSfxIfHitWater:1,isIgnoreMoveStateIfHitWater:1,isHitDarkForceMagic:1,isInheritEffectToChild:1,isInheritSpeedToChild:1
1,"PC_自動化用の弾",10,-1,-1,-1,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,"ファンネルテスト",1001,21313,-1,-1,-1.0,30.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,1.0,1.0,0.0,0.0,0.30000001192092896,-1.0,0.0,0.0,0.0,0.0,0.0,0,801000,101,0,0,0,0,0,1,90,0,0,0,0,0,0,0,0,0,0,45,0,0,4,3,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"飛竜　ブレステスト",1,15139,-1,-1,1.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,50.0,0.0,0.0,0.0,0.5,3.5,0.5,0.0,0.0,0.0,0.0,0,0,-1,0,0,0,0,0,1,0,-30,0,0,0,0,0,0,0,0,0,45,1,0,4,2,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5,"邪眼【投げ】",0,-1,-1,-1,0.029999999329447746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000000149011612,-1.0,0.0,0.0,0.0,0.0,0.0,65,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,45,1,0,4,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"邪眼【着弾】",5,-1,-1,-1,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,0,-1,63,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,45,1,0,4,3,0,6,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0
50,"かがり火回復効果",0,-1,-1,-1,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,-1.0,0.0,0.0,0.0,0.0,0.0,0,0,-1,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,"【SP】ハンマー血糊【血糊出すか距離判定】",0,54,-1,-1,2.0,100.0,0.0,55.0,55.0,0.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0,0.10000000149011612,-1.0,0.0,0.0,0.0,0.0,0.0,0,0,61,0,0,0,0,0,12,0,0,15,55,0,0,0,0,0,0,-10,0,1,0,4,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,"【SP】ハンマー血糊【血糊】",0,55,-1,-1,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000000149011612,-1.0,0.0,0.0,0.0,0.0,0.0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
62,"【SP】ハンマー小血糊【血糊出すか距離判定】",0,54,-1,-1,2.0,100.0,0.0,100.0,100.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.10000000149011612,-1.0,0.0,0.0,0.0,0.0,0.0,0,0,63,0,0,0,0,0,4,0,0,35,10,0,0,0,0,0,0,-10,0,1,0,4,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,"【SP】ハンマー小血糊【血糊】",0,55,-1,-1,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000000149011612,-1.0,0.0,0.0,0.0,0.0,0.0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
