ID,Description,baseRec_mp,baseRec_sp,red_Falldam,soul,equip_Wep_Right,equip_Subwep_Right,equip_Wep_Left,equip_Subwep_Left,equip_Helm,equip_Armer,equip_Gaunt,equip_Leg,equip_Arrow,equip_Bolt,equip_SubArrow,equip_SubBolt,equip_Accessory01,equip_Accessory02,equip_Accessory03,equip_Accessory04,equip_Accessory05,equip_Skill_01,equip_Skill_02,equip_Skill_03,equip_Spell_01,equip_Spell_02,equip_Spell_03,equip_Spell_04,equip_Spell_05,equip_Spell_06,equip_Spell_07,item_01,item_02,item_03,item_04,item_05,item_06,item_07,item_08,item_09,item_10,npcPlayerFaceGenId,npcPlayerThinkId,baseHp,baseMp,baseSp,arrowNum,boltNum,subArrowNum,subBoltNum,QWC_sb,QWC_mw,QWC_cd,soulLv,baseVit,baseWil,baseEnd,baseStr,baseDex,baseMag,baseFai,baseLuc,baseHeroPoint,baseDurability,itemNum_01,itemNum_02,itemNum_03,itemNum_04,itemNum_05,itemNum_06,itemNum_07,itemNum_08,itemNum_09,itemNum_10,bodyScaleHead,bodyScaleBreast,bodyScaleAbdomen,bodyScaleArm,bodyScaleLeg,gestureId0,gestureId1,gestureId2,gestureId3,gestureId4,gestureId5,gestureId6,npcPlayerType,npcPlayerDrawType,npcPlayerSex,vowType:4,voiceType,equip_Wep_Right_GenId,equip_Subwep_Right_GenId,equip_Wep_Left_GenId,equip_Subwep_Left_GenId,equip_Helm_GenId,equip_Armer_GenId,equip_Gaunt_GenId,equip_Leg_GenId,equip_Wep_Body_GenId,secondaryItem_01,secondaryItem_02,secondaryItem_03,secondaryItem_04,secondaryItem_05,secondaryItem_06,secondaryItemNum_01,secondaryItemNum_02,secondaryItemNum_03,secondaryItemNum_04,secondaryItemNum_05,secondaryItemNum_06
15,"15_ハンター_日本刀　ギミックナタ　銃　ただの松明",0.0,0.0,0.0,50000,-1,-1,-1,-1,10000,11000,12000,13000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1000,-1,900,-1,-1,-1,-1,-1,-1,-1,100,0,0,0,0,0,0,0,0,0,0,0,0,11,12,20,50,50,50,99,5,0,11,30,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,1,0,0,2000000,7000000,6000000,20100000,-1,-1,-1,-1,1000,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
16,"16_ハンター_日本刀　ギミックナタ　銃　松明",0.0,0.0,0.0,50000,-1,-1,-1,-1,10000,11000,12000,13000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1000,-1,900,-1,-1,-1,-1,-1,-1,-1,100,0,0,0,0,0,0,0,0,0,0,0,0,11,12,20,50,50,50,99,5,0,11,30,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,1,0,0,2000000,7000000,6000000,20000000,-1,-1,-1,-1,1000,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
17,"17_ハンター_日本刀　双剣　銃　松明",0.0,0.0,0.0,50000,-1,-1,-1,-1,10000,11000,12000,13000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1000,-1,900,-1,-1,-1,-1,-1,-1,-1,100,0,0,0,0,0,0,0,0,0,0,0,0,11,12,20,50,50,50,99,5,0,11,30,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,1,0,0,2000000,4000000,6000000,20000000,-1,-1,-1,-1,1000,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
18,"18_ハンター_剣大剣　斧竿　銃　松明",0.0,0.0,0.0,50000,-1,-1,-1,-1,10000,11000,12000,13000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1000,-1,900,-1,-1,-1,-1,-1,-1,-1,100,0,0,0,0,0,0,0,0,0,0,0,0,11,12,20,50,50,50,99,5,0,11,30,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,1,0,0,8100000,5000000,6000000,20000000,-1,-1,-1,-1,1000,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
19,"19_ハンター_剣大槌　拳獣　銃　松明",0.0,0.0,0.0,50000,-1,-1,-1,-1,10000,11000,12000,13000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1000,-1,900,-1,-1,-1,-1,-1,-1,-1,100,0,0,0,0,0,0,0,0,0,0,0,0,11,12,20,50,50,50,99,5,0,11,30,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,1,0,0,8000000,9000000,6000000,20000000,-1,-1,-1,-1,1000,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
20,"20_ハンター_銃槍　パイル　長銃　松明",0.0,0.0,0.0,50000,-1,-1,-1,-1,10000,11000,12000,13000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1000,-1,900,-1,-1,-1,-1,-1,-1,-1,100,0,0,0,0,0,0,0,0,0,0,0,0,11,12,20,50,50,50,99,5,0,11,30,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,1,0,0,10000000,11000000,6000000,20000000,-1,-1,-1,-1,1000,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
21,"21_ハンター_車輪　パイル　長銃　松明",0.0,0.0,0.0,50000,-1,-1,-1,-1,10000,11000,12000,13000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1000,-1,900,-1,-1,-1,-1,-1,-1,-1,100,0,0,0,0,0,0,0,0,0,0,0,0,11,12,20,50,50,50,99,5,0,11,30,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,1,0,0,12000000,11000000,6000000,20000000,-1,-1,-1,-1,1000,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
22,"22_ハンター_ノコナタ　車輪　短銃　大筒",0.0,0.0,0.0,50000,-1,-1,-1,-1,10000,11000,12000,13000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1000,-1,900,-1,-1,-1,-1,-1,-1,-1,100,0,0,0,0,0,0,0,0,0,0,0,0,11,12,20,50,50,50,99,5,0,11,30,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,1,0,0,7000000,12000000,14000000,15000000,-1,-1,-1,-1,1000,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
23,"23_ハンター_素手　爆槌　素手　短銃",0.0,0.0,0.0,50000,-1,-1,-1,-1,10000,11000,12000,13000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1000,-1,900,-1,-1,-1,-1,-1,-1,-1,100,0,0,0,0,0,0,0,0,0,0,0,0,11,12,20,50,50,50,99,5,0,11,30,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,1,0,0,1000000,13000000,1000000,14000000,-1,-1,-1,-1,1000,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
25,"25_ハンター_剣鎌　ノコ槍　触媒　長銃",0.0,0.0,0.0,50000,-1,-1,-1,-1,10000,11000,12000,13000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1000,-1,900,-1,-1,-1,-1,-1,-1,-1,100,0,0,0,0,0,0,0,0,0,0,0,0,11,12,20,50,50,50,99,5,0,11,30,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,1,0,0,5100000,7100000,17000000,6000000,-1,-1,-1,-1,1000,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
26,"26_ハンター_銃剣　銃槍　噴霧器　火炎放射器",0.0,0.0,0.0,50000,-1,-1,-1,-1,10000,11000,12000,13000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1000,-1,900,-1,-1,-1,-1,-1,-1,-1,100,0,0,0,0,0,0,0,0,0,0,0,0,11,12,20,50,50,50,99,5,0,11,30,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,1,0,0,10100000,10000000,18000000,18100000,-1,-1,-1,-1,1000,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
27,"27_ハンター_ノコナタ　車輪　教会銃　盾　",0.0,0.0,0.0,50000,-1,-1,-1,-1,70000,71000,72000,73000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1000,-1,900,-1,-1,-1,-1,-1,-1,-1,100,0,0,0,0,0,0,0,0,0,0,0,0,11,12,20,50,50,50,99,5,0,11,30,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,1,0,0,7000000,12000000,6100000,19000000,-1,-1,-1,-1,1000,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
29,"29_ハンター_杖鞭　斧竿　教会銃　長銃　",0.0,0.0,0.0,50000,-1,-1,-1,-1,70000,71000,72000,73000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1000,-1,900,-1,-1,-1,-1,-1,-1,-1,100,0,0,0,0,0,0,0,0,0,0,0,0,11,12,20,50,50,50,99,5,0,11,30,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,1,0,0,22000000,5000000,6100000,6000000,-1,-1,-1,-1,1000,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
30,"30_工房短銃",0.0,0.0,0.0,50000,-1,-1,-1,-1,10000,11000,12000,13000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1000,-1,900,-1,-1,-1,-1,-1,-1,-1,100,0,0,0,0,0,0,0,0,0,0,0,0,11,99,20,50,50,50,6,5,0,11,30,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,1,0,0,7000000,12000000,14000000,20000000,-1,-1,-1,-1,1000,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
31,"31_工房長銃",0.0,0.0,0.0,50000,-1,-1,-1,-1,10000,11000,12000,13000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1000,-1,900,-1,-1,-1,-1,-1,-1,-1,100,0,0,0,0,0,0,0,0,0,0,0,0,11,99,20,50,50,50,6,5,0,11,30,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,1,0,0,7000000,12000000,6000000,20000000,-1,-1,-1,-1,1000,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
