ID,Description,refId,sfxVariationId,weight,behaviorId,basicPrice,sellValue,sortId,qwcId,equipModelId,iconId,shopLv,trophySGradeId,trophySeqId,equipModelCategory,equipModelGender,accessoryCategory,refCategory,spEffectCategory,vagrantItemLotId,vagrantBonusEneDropItemLotId,vagrantItemEneDropItemLotId,isDeposit:1,isEquipOutBrake:1,disableMultiDropShare:1
100,"装備重量アップ",2000,-1,0.0,0,0,1000,3,0,0,4000,-1,-1,-1,0,0,0,2,0,101400,101410,101420,1,0,0
101,"ピンチ攻撃力アップ",2010,-1,0.0,0,0,100,12,0,0,4001,-1,-1,-1,0,0,0,2,0,101400,101410,101420,1,0,0
102,"暗月神の指輪",2320,-1,0.0,0,0,1000,23,0,0,4040,-1,-1,-1,0,0,0,2,0,101400,101410,101420,1,0,0
103,"盗賊団の指輪",2330,-1,0.0,0,0,1000,37,0,0,4041,-1,-1,-1,0,0,0,2,0,101400,101410,101420,1,0,0
104,"スタミナ回復アップ",2013,-1,0.0,0,0,100,2,0,0,4004,-1,-1,-1,0,0,0,2,0,101400,101410,101420,1,0,0
105,"炎耐性アップ",2020,-1,0.0,0,0,100,6,0,0,4005,-1,-1,-1,0,0,0,2,0,101400,101410,101420,1,0,0
106,"雷耐性アップ",2021,-1,0.0,0,0,100,7,0,0,4006,-1,-1,-1,0,0,0,2,0,101400,101410,101420,1,0,0
107,"魔法耐性アップ",2022,-1,0.0,0,0,100,5,0,0,4007,-1,-1,-1,0,0,0,2,0,101400,101410,101420,1,0,0
108,"全耐性アップ1",2024,-1,0.0,0,0,100,8,0,0,4008,-1,-1,-1,0,0,0,2,0,101400,101410,101420,1,0,0
109,"出血耐性アップ",2030,-1,0.0,0,0,100,9,0,0,4009,-1,-1,-1,0,0,0,2,0,101400,101410,101420,1,0,0
110,"毒耐性アップ",2031,-1,0.0,0,0,100,10,0,0,4010,-1,-1,-1,0,0,0,2,0,101400,101410,101420,1,0,0
111,"HP微増",2340,-1,0.0,0,0,100,1,0,0,4042,-1,-1,-1,0,0,0,2,0,101400,101410,101420,1,0,0
113,"呪耐性アップ",2034,-1,0.0,0,0,100,11,0,0,4013,-1,-1,-1,0,0,0,2,0,101400,101410,101420,1,0,0
114,"魔法スロットアップ",2040,-1,0.0,0,0,100,20,0,0,4014,-1,-1,-1,0,0,0,2,0,101400,101410,101420,1,0,0
115,"魔法威力アップ",2050,-1,0.0,0,0,100,16,0,0,4015,-1,-1,-1,0,0,0,2,0,101400,101410,101420,1,0,0
116,"MP偏重",2060,-1,0.0,0,0,1000,19,0,0,4016,-1,-1,-1,0,0,0,2,0,101400,101410,101420,1,0,0
117,"致命攻撃力アップ",36,-1,0.0,0,0,1000,28,0,0,4017,-1,-1,-1,0,0,0,2,0,101400,101410,101420,1,0,0
119,"弓の達人",2080,-1,0.0,0,0,100,27,0,0,4019,-1,-1,-1,0,0,0,2,0,101400,101410,101420,1,0,0
120,"物理防御力アップ",2023,-1,0.0,0,0,100,4,0,0,4020,-1,-1,-1,0,0,0,2,0,101400,101410,101420,1,0,0
121,"アイテムドロップアップ",2100,-1,0.0,0,0,100,32,0,0,4021,-1,-1,-1,0,0,0,2,0,101400,101410,101420,1,0,0
122,"取得ソウルアップ",2101,-1,0.0,0,0,100,33,0,0,4022,-1,-1,-1,0,0,0,2,0,101400,101410,101420,1,0,0
123,"音消去",2110,-1,0.0,0,0,100,18,0,0,4023,-1,-1,-1,0,0,0,2,0,101400,101410,101420,1,0,0
124,"石コロ帽子",2111,-1,0.0,0,0,1000,38,0,0,4024,-1,-1,-1,0,0,0,2,0,101400,101410,101420,1,0,0
125,"剛脚",2120,-1,0.0,0,0,100,31,0,0,4025,-1,-1,-1,0,0,0,2,0,101400,101410,101420,1,0,0
126,"復活",2130,-1,0.0,0,0,100,14,0,0,4026,-1,-1,-1,0,0,0,2,0,101400,101410,101420,1,0,0
127,"呪いからの復活",2131,-1,0.0,0,0,100,15,0,0,4027,-1,-1,-1,0,0,0,2,0,101400,101410,101420,1,0,0
128,"軽業",2121,-1,0.0,0,0,100,30,0,0,4028,-1,-1,-1,0,0,0,2,0,101400,101410,101420,1,0,0
130,"共鳴",2140,-1,0.0,0,0,1000,24,0,0,4030,-1,-1,-1,0,0,0,2,0,101400,101410,101420,1,0,0
137,"混沌の言葉",2190,-1,0.0,0,0,1000,36,0,0,4037,-1,-1,-1,0,0,0,2,0,101400,101410,101420,1,0,0
138,"闇歩き",2200,-1,0.0,0,0,-1,34,0,0,4002,-1,-1,32,0,0,0,2,0,101400,101410,101420,1,0,1
139,"溶岩歩き",2210,-1,0.0,0,0,-1,35,0,0,4003,-1,-1,-1,0,0,0,2,0,101400,101410,101420,1,0,1
141,"補助魔法延長",2230,-1,0.0,0,0,100,17,0,0,4039,-1,-1,-1,0,0,0,2,0,101400,101410,101420,1,0,0
142,"HPドレイン",2240,-1,0.0,0,0,500,40,0,0,4018,-1,-1,-1,0,0,0,2,0,101400,101410,101420,1,0,0
143,"強者の呪い",2250,-1,0.0,0,0,1000,39,0,0,4029,-1,-1,-1,0,0,0,2,0,101400,101410,101420,1,1,0
144,"カウンター強化",2260,-1,0.0,0,0,100,25,0,0,4031,-1,-1,-1,0,0,0,2,0,101400,101410,101420,1,0,0
145,"武器を大切に",2270,-1,0.0,0,0,100,29,0,0,4032,-1,-1,-1,0,0,0,2,0,101400,101410,101420,1,0,0
146,"SAアップ",2090,-1,0.0,0,0,50,26,0,0,4035,-1,-1,-1,0,0,0,2,0,101400,101410,101420,1,0,0
147,"ピンチ防御力アップ",2290,-1,0.0,0,0,100,13,0,0,4036,-1,-1,-1,0,0,0,2,0,101400,101410,101420,1,0,0
