ID,Description,sortId,wanderingEquipId,vagrantItemLotId,vagrantBonusEneDropItemLotId,vagrantItemEneDropItemLotId,fixPrice,basicPrice,sellValue,weight,residentSpEffectId,residentSpEffectId2,residentSpEffectId3,materialSetId,partsDamageRate,corectSARecover,originEquipPro,originEquipPro1,originEquipPro2,originEquipPro3,originEquipPro4,originEquipPro5,originEquipPro6,originEquipPro7,originEquipPro8,originEquipPro9,originEquipPro10,originEquipPro11,originEquipPro12,originEquipPro13,originEquipPro14,originEquipPro15,faceScaleM_ScaleX,faceScaleM_ScaleZ,faceScaleM_MaxX,faceScaleM_MaxZ,faceScaleF_ScaleX,faceScaleF_ScaleZ,faceScaleF_MaxX,faceScaleF_MaxZ,qwcId,equipModelId,iconIdM,iconIdF,knockBack,knockbackBounceRate,durability,durabilityMax,saDurability,defFlickPower,defensePhysics,defenseMagic,defenseFire,defenseThunder,defenseSlash,defenseBlow,defenseThrust,resistPoison,resistDisease,resistBlood,resistCurse,reinforceTypeId,compTrophySedId,shopLv,knockbackParamId,flickDamageCutRate,equipModelCategory,equipModelGender,protectorCategory,defenseMaterial,defenseMaterialSfx,partsDmgType,defenseMaterial_Weak,defenseMaterialSfx_Weak,isDeposit:1,headEquip:1,bodyEquip:1,armEquip:1,legEquip:1,useFaceScale:1,invisibleFlag00:1,invisibleFlag01:1,invisibleFlag02:1,invisibleFlag03:1,invisibleFlag04:1,invisibleFlag05:1,invisibleFlag06:1,invisibleFlag07:1,invisibleFlag08:1,invisibleFlag09:1,invisibleFlag10:1,invisibleFlag11:1,invisibleFlag12:1,invisibleFlag13:1,invisibleFlag14:1,invisibleFlag15:1,invisibleFlag16:1,invisibleFlag17:1,invisibleFlag18:1,invisibleFlag19:1,invisibleFlag20:1,invisibleFlag21:1,invisibleFlag22:1,invisibleFlag23:1,invisibleFlag24:1,invisibleFlag25:1,invisibleFlag26:1,invisibleFlag27:1,invisibleFlag28:1,invisibleFlag29:1,invisibleFlag30:1,invisibleFlag31:1,invisibleFlag32:1,invisibleFlag33:1,invisibleFlag34:1,invisibleFlag35:1,invisibleFlag36:1,invisibleFlag37:1,invisibleFlag38:1,invisibleFlag39:1,invisibleFlag40:1,invisibleFlag41:1,invisibleFlag42:1,invisibleFlag43:1,invisibleFlag44:1,invisibleFlag45:1,invisibleFlag46:1,invisibleFlag47:1,disableMultiDropShare:1,simpleModelForDlc:1,isGuestDrop:1,shotDamageCutRate,slashDamageCutRate,blowDamageCutRate,thrustDamageCutRate,magicDamageCutRate,fireDamageCutRate,thunderDamageCutRate,resistTherianthrope,invisibleFlag48:1,invisibleFlag49:1,invisibleFlag50:1,invisibleFlag51:1,invisibleFlag52:1,invisibleFlag53:1,invisibleFlag54:1,invisibleFlag55:1,invisibleFlag56:1,invisibleFlag57:1,invisibleFlag58:1,invisibleFlag59:1,invisibleFlag60:1,invisibleFlag61:1,invisibleFlag62:1,repositoryCategory,trophySeqId
1000,"スキンヘッド",1,5000,-1,-1,-1,0,0,-1,0.0,-1,-1,-1,-1,1.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,1.0,1.100000023841858,1.100000023841858,1.0,1.0,1.100000023841858,1.100000023841858,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,0,4,1,4,29,29,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,-1
1100,"Ｍスポット",2,5000,-1,-1,-1,0,0,-1,0.0,-1,-1,-1,-1,1.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,1.0,1.100000023841858,1.100000023841858,1.0,1.0,1.100000023841858,1.100000023841858,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,0,4,1,4,29,29,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,-1
1200,"ショート",3,5000,-1,-1,-1,0,0,-1,0.0,-1,-1,-1,-1,1.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,1.0,1.100000023841858,1.100000023841858,1.0,1.0,1.100000023841858,1.100000023841858,-1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,0,4,1,4,29,29,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,-1
1300,"オールバックロング",4,5000,-1,-1,-1,0,0,-1,0.0,-1,-1,-1,-1,1.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,1.0,1.100000023841858,1.100000023841858,1.0,1.0,1.100000023841858,1.100000023841858,-1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,0,4,1,4,29,29,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,-1
1400,"テール",5,5000,-1,-1,-1,0,0,-1,0.0,-1,-1,-1,-1,1.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,1.0,1.100000023841858,1.100000023841858,1.0,1.0,1.100000023841858,1.100000023841858,-1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,0,4,1,4,29,29,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,-1
1500,"乱れ長髪",6,5000,-1,-1,-1,0,0,-1,0.0,-1,-1,-1,-1,1.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,1.0,1.100000023841858,1.100000023841858,1.0,1.0,1.100000023841858,1.100000023841858,-1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,0,4,1,4,29,29,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,-1
1600,"センターパート",7,5000,-1,-1,-1,0,0,-1,0.0,-1,-1,-1,-1,1.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,1.0,1.100000023841858,1.100000023841858,1.0,1.0,1.100000023841858,1.100000023841858,-1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,0,4,1,4,29,29,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,-1
1700,"セミロング七三分け",8,5000,-1,-1,-1,0,0,-1,0.0,-1,-1,-1,-1,1.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,1.0,1.100000023841858,1.100000023841858,1.0,1.0,1.100000023841858,1.100000023841858,-1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,0,4,1,4,29,29,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,-1
1800,"ウェーブ",9,5000,-1,-1,-1,0,0,-1,0.0,-1,-1,-1,-1,1.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,1.0,1.100000023841858,1.100000023841858,1.0,1.0,1.100000023841858,1.100000023841858,-1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,0,4,1,4,29,29,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,-1
1900,"ボブ",10,5000,-1,-1,-1,0,0,-1,0.0,-1,-1,-1,-1,1.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,1.0,1.100000023841858,1.100000023841858,1.0,1.0,1.100000023841858,1.100000023841858,-1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,0,4,1,4,29,29,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,-1
