ID,Description,behaviorVariationId,sortId,wanderingEquipId,weight,weaponWeightRate,fixPrice,basicPrice,sellValue,correctStrength,correctAgility,correctMagic,correctFaith,physGuardCutRate,magGuardCutRate,fireGuardCutRate,thunGuardCutRate,spEffectBehaviorId0,spEffectBehaviorId1,spEffectBehaviorId2,residentSpEffectId,residentSpEffectId1,residentSpEffectId2,materialSetId,originEquipWep,originEquipWep1,originEquipWep2,originEquipWep3,originEquipWep4,originEquipWep5,originEquipWep6,originEquipWep7,originEquipWep8,originEquipWep9,originEquipWep10,originEquipWep11,originEquipWep12,originEquipWep13,originEquipWep14,originEquipWep15,antiDemonDamageRate,antSaintDamageRate,antWeakA_DamageRate,antWeakB_DamageRate,levelSyncCorrectId,vagrantBonusEneDropItemLotId,vagrantItemEneDropItemLotId,equipModelId,iconId,durability,durabilityMax,attackThrowEscape,parryDamageLife,attackBasePhysics,attackBaseMagic,attackBaseFire,attackBaseThunder,attackBaseStamina,saWeaponDamage,saDurability,guardAngle,staminaGuardDef,reinforceTypeId,compTrophySedId,trophySeqId,throwAtkRate,bowDistRate,equipModelCategory,equipModelGender,weaponCategory,wepmotionCategory,guardmotionCategory,atkMaterial,defMaterial,defSfxMaterial,correctType,spAttribute,spAtkcategory,wepmotionOneHandId,wepmotionBothHandId,properStrength,properAgility,properMagic,properFaith,overStrength,attackBaseParry,defenseBaseParry,guardBaseRepel,attackBaseRepel,guardCutCancelRate,guardLevel,slashGuardCutRate,blowGuardCutRate,thrustGuardCutRate,poisonGuardResist,diseaseGuardResist,bloodGuardResist,curseGuardResist,isDurabilityDivergence,rightHandEquipable:1,leftHandEquipable:1,bothHandEquipable:1,arrowSlotEquipable:1,boltSlotEquipable:1,enableGuard:1,enableParry:1,enableMagic:1,enableSorcery:1,enableMiracle:1,enableVowMagic:1,isNormalAttackType:1,isBlowAttackType:1,isSlashAttackType:1,isThrustAttackType:1,isEnhance:1,isLuckCorrect:1,isCustom:1,disableBaseChangeReset:1,disableRepair:1,isDarkHand:1,simpleModelForDlc:1,lanternWep:1,isVersusGhostWep:1,baseChangeCategory:6,isDragonSlayer:1,isDeposit:1,disableMultiDropShare:1,invisibleOnRemo:1,isAttributeWep:1,isEnchantLeftHand:1,isGuestDrop:1,therianthropeGuardResist,PhysAtkMenuDispType,wepmotionHangType,dmypolyId_Slot0RightHang,dmypolyId_Slot0RightFormA,dmypolyId_Slot0RightFormB,dmypolyId_Slot0LeftHang,dmypolyId_Slot0LeftFormA,dmypolyId_Slot0LeftFormB,dmypolyId_Slot1RightHang,dmypolyId_Slot1RightFormA,dmypolyId_Slot1RightFormB,dmypolyId_Slot1LeftHang,dmypolyId_Slot1LeftFormA,dmypolyId_Slot1LeftFormB,dmypolyId_Slot2RightHang,dmypolyId_Slot2RightFormA,dmypolyId_Slot2RightFormB,dmypolyId_Slot2LeftHang,dmypolyId_Slot2LeftFormA,dmypolyId_Slot2LeftFormB,dmypolyId_Slot3RightHang,dmypolyId_Slot3RightFormA,dmypolyId_Slot3RightFormB,dmypolyId_Slot3LeftHang,dmypolyId_Slot3LeftFormA,dmypolyId_Slot3LeftFormB,wepRegainHp,bulletConsumeNum,repositoryCategory
1000,"【システム】体に魔石スロットをつくるためのダミー武器",0,-1,0,0.0,0.0,0,0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,1.0,1.0,1.0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
2000,"【システム】アイテム使用時に、PCパラの補正をかけるためのダミー武器",0,-1,0,0.0,0.0,0,0,-1,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,1.0,1.0,1.0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
3000,"【システム】投げ用仮想武器",80,-1,0,0.0,0.0,0,0,-1,0.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,1.0,1.0,1.0,135,-1,-1,0,0,1,0,1,10,100,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,3,53,53,16,0,0,0,0,0,0,0,0,99,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,15
4000,"【システム】アイテム使用時に、PCパラの補正をかけるためのダミー武器",0,-1,0,0.0,0.0,0,0,-1,50.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,1.0,1.0,1.0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
5000,"【システム】スペル用仮想武器：汎用",0,-1,0,0.0,0.0,0,0,-1,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,1.0,1.0,1.0,140,-1,-1,0,0,1,0,1,10,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,5,50,50,2,0,0,0,0,0,0,0,0,99,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,15
6000,"【システム】スペル用仮想武器：触手召喚",0,-1,0,0.0,0.0,0,0,-1,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,1.0,1.0,1.0,140,-1,-1,0,0,1,0,1,10,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,5,50,50,5,0,0,0,0,0,0,0,0,99,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,15
7000,"【システム】スペル用仮想武器：宇宙召喚",0,-1,0,0.0,0.0,0,0,-1,0.0,0.0,0.0,350.0,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,1.0,1.0,1.0,143,-1,-1,0,0,1,0,1,10,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,5,50,50,3,0,0,0,0,0,0,0,0,99,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,15
8000,"【システム】スペル用仮想武器：カインの衝撃",0,-1,0,0.0,0.0,0,0,-1,0.0,0.0,0.0,210.0,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,1.0,1.0,1.0,141,-1,-1,0,0,1,0,1,10,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,5,50,50,4,0,0,0,0,0,0,0,0,99,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,15
9000,"【システム】スペル用仮想武器：つきまとい弾",0,-1,0,0.0,0.0,0,0,-1,0.0,0.0,0.0,330.0,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,1.0,1.0,1.0,142,-1,-1,0,0,1,0,1,10,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,5,50,50,2,0,0,0,0,0,0,0,0,99,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,15
10000,"【システム】投げナイフ",0,-1,0,0.0,0.0,0,0,-1,50.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,1.0,1.0,1.0,136,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
