ID,Description,facePartsId,skinColor_R ,skinColor_G ,skinColor_B ,hairPartsId,hairColor_R ,hairColor_G ,hairColor_B ,eyeLPartsId,eyeLColor_R,eyeLColor_G,eyeLColor_B,eyeRPartsId,eyeRColor_R,eyeRColor_G,eyeRColor_B,eyebrowPartsId,eyebrowColor_R ,eyebrowColor_G ,eyebrowColor_B ,eyelashPartsId,eyelashColor_R ,eyelashColor_G ,eyelashColor_B ,beardPartsId,beardColor_R ,beardColor_G ,beardColor_B ,accessoriesPartsId,accessoriesColor_R ,accessoriesColor_G ,accessoriesColor_B ,decalPartsId,decalColor_R ,decalColor_G ,decalColor_B ,decalPosX,decalPosY,decalAngle,decalScale,chrBodyScaleHead,chrBodyScaleBreast,chrBodyScaleAbdomen,chrBodyScaleArm,chrBodyScaleLeg,age,gender,caricatureGeometry,caricatureTexture,faceGeoData00,faceGeoData01,faceGeoData02,faceGeoData03,faceGeoData04,faceGeoData05,faceGeoData06,faceGeoData07,faceGeoData08,faceGeoData09,faceGeoData10,faceGeoData11,faceGeoData12,faceGeoData13,faceGeoData14,faceGeoData15,faceGeoData16,faceGeoData17,faceGeoData18,faceGeoData19,faceGeoData20,faceGeoData21,faceGeoData22,faceGeoData23,faceGeoData24,faceGeoData25,faceGeoData26,faceGeoData27,faceGeoData28,faceGeoData29,faceGeoData30,faceGeoData31,faceGeoData32,faceGeoData33,faceGeoData34,faceGeoData35,faceGeoData36,faceGeoData37,faceGeoData38,faceGeoData39,faceGeoData40,faceGeoData41,faceGeoData42,faceGeoData43,faceGeoData44,faceGeoData45,faceGeoData46,faceGeoData47,faceGeoData48,faceGeoData49,faceGeoData50,faceGeoData51,faceGeoData52,faceGeoData53,faceGeoData54,faceGeoData55,faceGeoData56,faceGeoData57,faceGeoData58,faceGeoData59,faceGeoData60,faceTexData00,faceTexData01,faceTexData02,faceTexData03,faceTexData04,faceTexData05,faceTexData06,faceTexData07,faceTexData08,faceTexData09,faceTexData10,faceTexData11,faceTexData12,faceTexData13,faceTexData14,faceTexData15,faceTexData16,faceTexData17,faceTexData18,faceTexData19,faceTexData20,faceTexData21,faceTexData22,faceTexData23,faceTexData24,faceTexData25,faceTexData26,faceTexData27,faceTexData28,faceTexData29,faceTexData30,faceTexData31,faceTexData32,faceTexData33,faceTexData34,faceTexData35,faceGeoAsymData00,faceGeoAsymData01,faceGeoAsymData02,faceGeoAsymData03,faceGeoAsymData04,faceGeoAsymData05,faceGeoAsymData06,faceGeoAsymData07,faceGeoAsymData08,faceGeoAsymData09,faceGeoAsymData10,faceGeoAsymData11,faceGeoAsymData12,faceGeoAsymData13,faceGeoAsymData14,faceGeoAsymData15,faceGeoAsymData16,faceGeoAsymData17,faceGeoAsymData18,faceGeoAsymData19,faceGeoAsymData20,faceGeoAsymData21,faceGeoAsymData22,faceGeoAsymData23,faceGeoAsymData24,faceGeoAsymData25
0,"test",0,145,130,120,0,128,128,128,0,128,128,128,0,128,128,128,0,128,128,128,0,128,128,128,0,128,128,128,0,128,128,128,0,20,20,20,180,100,0,40,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,113,255,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128
1,"キャラメイクテスト",0,145,130,120,0,128,128,128,0,128,128,128,0,128,128,128,0,128,128,128,0,128,128,128,0,128,128,128,0,128,128,128,0,20,20,20,180,100,0,40,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,113,255,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128
100,"デバッグ用　標準顔",0,145,130,120,3,150,145,140,0,120,90,90,0,120,90,90,1,150,145,140,1,150,145,130,4,150,145,140,0,128,128,128,1,100,100,100,181,114,255,15,128,128,128,128,128,138,128,128,128,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,113,255,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128
110,"デバッグ用　最大負荷(自キャラ)",0,145,130,120,1,150,145,140,0,120,90,90,0,120,90,90,2,150,145,140,0,150,145,130,3,150,145,140,6,128,128,128,5,128,128,128,120,80,0,20,128,128,128,128,128,133,128,128,128,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,113,255,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128
111,"デバッグ用　最大負荷(ゲスト１)",1,145,130,120,1,150,145,140,0,120,90,90,0,120,90,90,2,150,145,140,0,150,145,130,3,150,145,140,6,128,128,128,5,128,128,128,120,80,0,20,128,128,128,128,128,133,128,128,128,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,113,255,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128
112,"デバッグ用　最大負荷(ゲスト２)",2,145,130,120,9,150,145,140,1,120,90,90,1,120,90,90,9,150,145,140,0,150,145,130,9,150,145,140,5,128,128,128,4,128,128,128,120,80,0,20,128,128,128,128,128,133,128,128,128,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,113,255,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128
113,"デバッグ用　最大負荷(ゲスト３)",0,145,130,120,8,150,145,140,2,120,90,90,2,120,90,90,1,150,145,140,0,150,145,130,5,150,145,140,3,128,128,128,3,128,128,128,120,80,0,20,128,128,128,128,128,133,128,128,128,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,113,255,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128
114,"デバッグ用　最大負荷(ゲスト４)",1,145,130,120,108,150,145,140,0,120,90,90,0,120,90,90,7,150,145,140,0,150,145,130,6,150,145,140,1,128,128,128,1,128,128,128,120,80,0,20,128,128,128,128,128,133,128,128,128,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,113,255,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128
190,"190_2016TGS用_連盟の長_丸鋸/斧竿/長銃/火炎放射",1,150,135,125,10,130,100,60,0,110,130,150,0,110,130,150,0,100,70,40,0,0,8,8,10,130,100,60,0,128,128,128,0,20,20,20,180,100,0,40,128,128,128,128,128,45,50,105,128,155,205,132,177,170,170,201,68,185,108,158,108,108,88,118,190,147,180,198,149,137,128,205,115,60,115,128,125,115,128,158,65,125,228,255,245,165,138,50,148,95,145,178,138,88,118,148,128,90,175,108,137,138,120,150,10,44,102,120,115,128,128,128,128,128,128,128,138,160,138,128,128,128,128,128,128,128,128,128,178,118,168,198,128,128,128,128,118,128,108,38,98,128,115,198,83,215,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128
191,"191_2016TGS用_古狩人_ノコ鞭/ノコナタ/短銃/獣狩り松明",0,138,118,103,4,32,22,12,1,95,115,85,1,95,115,85,1,32,22,12,1,150,145,130,7,32,22,12,0,128,128,128,0,55,60,60,68,154,88,195,128,128,128,128,128,133,58,128,128,135,148,138,138,138,148,118,138,128,128,138,98,138,108,108,148,138,128,118,128,118,128,68,128,118,98,128,178,98,128,108,68,138,168,158,158,178,88,128,168,128,128,128,198,138,78,118,128,108,148,108,98,58,118,88,78,128,108,98,138,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,158,128,128,128,128,108,138,108,88,128,128,128,128,128,255,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128
