ID,Description,isUnique:1,gemNameIdOffset,disableSlotRateModify:1,slotTypeRateA,slotTypeRateB,slotTypeRateC,slotTypeRateD,slotTypeRateE,slotTypeRateF,gemRankDoping,gemeffectGenParamType_0,gemeffectGenParam_0,manifestRate_0,negativizeRate_0,gemeffectGenParamType_1,gemeffectGenParam_1,manifestRate_1,negativizeRate_1,gemeffectGenParamType_2,gemeffectGenParam_2,manifestRate_2,negativizeRate_2,gemeffectGenParamType_3,gemeffectGenParam_3,manifestRate_3,negativizeRate_3,gemeffectGenParamType_4,gemeffectGenParam_4,manifestRate_4,negativizeRate_4,gemeffectGenParamType_5,gemeffectGenParam_5,manifestRate_5,negativizeRate_5,equipableSegmentBody:1,equipableSegmentWeapon:1,unremovable:1,isGuestDrop:1
0,【テスト】攻撃力アップ,0,0,0,100.0,100.0,-1.0,-1.0,-1.0,-1.0,0,1,0,100.0,0.0,1,1,50.0,0.0,1,2,10.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,0,0,0
1,【テスト】攻撃カテゴリ,0,0,0,100.0,100.0,-1.0,-1.0,-1.0,-1.0,0,2,0,100.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,0,0,0
2,【テスト】攻撃カテゴリグループ,0,0,0,100.0,100.0,-1.0,-1.0,-1.0,-1.0,0,3,0,100.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,0,0,0
3,【テスト】攻撃＆防御方向性,0,0,0,100.0,100.0,-1.0,-1.0,-1.0,-1.0,0,4,0,100.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,0,0,0
4,【テスト】毒魔石,0,0,0,100.0,100.0,-1.0,-1.0,-1.0,-1.0,0,1,20,100.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,1,0,0
5,【テスト】攻撃力アップ,0,0,0,100.0,100.0,100.0,100.0,100.0,100.0,0,2,10000,100.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,1,0,0
6,【gamescom】短銃キャラ用最大MPアップ,0,0,0,100.0,100.0,100.0,100.0,100.0,100.0,0,1,21,100.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,1,0,0,0
10,【テスト】エラー魔石,0,0,0,100.0,100.0,100.0,100.0,100.0,100.0,0,1,-1,100.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,0,0,0
11,【テスト】エラー魔石,0,0,0,100.0,100.0,100.0,100.0,100.0,100.0,0,1,-1,100.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,1,0,0
12,【テスト】エラーBJ,0,0,0,100.0,100.0,100.0,100.0,100.0,100.0,0,1,-1,100.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,0,-1,0.0,0.0,1,0,0,0
