ID,Description,speffectId,categoryId,effectRank,rankMin,rankMax,disposalPrice,gemIconIdOffset,sortId:14,sortCategory:2,gemNameIdOffset,speffectId_forAtk
0,デフォルト魔石効果,-1,0,1,0,100,10,0,0,0,0,-1
1,攻撃力アップ【中】,10001,20,2,1,100,10,0,0,0,0,-1
2,攻撃力アップ【大】,10002,20,3,1,100,10,0,0,0,0,-1
10,攻撃力ダウン【小】,10100,20,1,1,100,10,0,0,0,0,-1
20,毒,-1,20,1,1,100,10,0,0,0,0,3971
21,【gamescom】短銃キャラ用最大MPアップ,9996,20,1,1,100,10,0,0,0,0,-1
100,防御力アップ【小】,11000,10,1,1,100,10,0,0,0,0,-1
101,防御力アップ【中】,11001,10,2,1,100,10,0,0,0,0,-1
102,防御力アップ【大】,11002,10,3,1,100,10,0,0,0,0,-1
110,防御力ダウン【小】,11100,11,1,1,100,10,0,0,0,0,-1
200,固定で着く効果,10000,100,0,0,100,10,0,0,0,0,-1
201,排他されるはずの効果,10000,101,0,0,100,10,0,0,0,0,-1
210,優先度A,10000,110,0,0,100,10,1,0,0,1,-1
211,優先度B,10000,111,0,0,100,10,2,0,0,2,-1
212,優先度C,10000,112,0,0,100,10,3,0,0,3,-1
1000,攻撃力【斬撃】固定値+100,10620,200,1,0,100,10,1,0,0,1,-1
1001,攻撃力【打撃】固定値+100,11620,200,1,0,100,10,2,0,0,2,-1
1002,攻撃力【刺突】固定値+100,12620,200,1,0,100,10,3,0,0,3,-1
1003,攻撃力【銃】固定値+100,13620,200,1,0,100,10,4,0,0,4,-1
1004,攻撃力【魔法】固定値+100,14620,200,1,0,100,10,5,0,0,5,-1
1005,攻撃力【炎】固定値+100,15620,200,1,0,100,10,6,0,0,6,-1
1006,攻撃力【雷】固定値+100,16620,200,1,0,100,10,7,0,0,7,-1
1007,攻撃力【物理】固定値+100,17620,200,1,0,100,10,8,0,0,8,-1
1008,攻撃力【全】固定値+100,18620,200,1,0,100,10,9,0,0,9,-1
1009,攻撃力【斬撃】倍率+10%,19620,200,1,0,100,10,10,0,0,10,-1
1010,攻撃力【打撃】倍率+10%,20620,200,1,0,100,10,11,0,0,11,-1
1011,攻撃力【刺突】倍率+10%,21620,200,1,0,100,10,12,0,0,12,-1
1012,攻撃力【銃】倍率+10%,22620,200,1,0,100,10,13,0,0,13,-1
1013,攻撃力【魔法】倍率+10%,23620,200,1,0,100,10,14,0,0,14,-1
1014,攻撃力【炎】倍率+10%,24620,200,1,0,100,10,15,0,0,15,-1
1015,攻撃力【雷】倍率+10%,25620,200,1,0,100,10,16,0,0,16,-1
1016,攻撃力【物理】倍率+10%,26620,200,1,0,100,10,17,0,0,17,-1
1017,攻撃力【全】倍率+10%,27620,200,1,0,100,10,18,0,0,18,-1
1018,武器補正【筋力】+100,29620,200,1,0,100,10,19,0,0,19,-1
1019,武器補正【技量】+100,30620,200,1,0,100,10,20,0,0,20,-1
1020,武器補正【射撃】+100,31620,200,1,0,100,10,21,0,0,21,-1
1021,武器補正【魔法】+100,32620,200,1,0,100,10,22,0,0,22,-1
1022,特攻【獣】倍率+10%,33620,200,1,0,100,10,23,0,0,23,-1
1023,特攻【月】倍率+10%,35620,200,1,0,100,10,24,0,0,24,-1
1024,状態異常攻撃力【毒】固定値+100,-1,200,1,0,100,10,25,0,0,25,37620
