ID,Description,ritualLv,attributeId,mapBaseId,holygrailTypeId,variationNum,mainFeature_1,dungeonNameBaseId,uniqueBaseFlagId,uniqueItem00_head,uniqueItem00_tail,uniqueItem01_head,uniqueItem01_tail,uniqueItem02_head,uniqueItem02_tail,uniqueItem03_head,uniqueItem03_tail,directMapUid,requiredMaterialId,groupFrameNameId,uniqueItem04_head,uniqueItem04_tail,uniqueItem05_head,uniqueItem05_tail,uniqueItem06_head,uniqueItem06_tail,uniqueItem07_head,uniqueItem07_tail,uniqueItem08_head,uniqueItem08_tail,uniqueItem09_head,uniqueItem09_tail,uniqueItem10_head,uniqueItem10_tail,uniqueItem11_head,uniqueItem11_tail,uniqueItem12_head,uniqueItem12_tail,uniqueItem13_head,uniqueItem13_tail,fixedSf_1_subFeatureLotId,fixedSf_2_subFeatureLotId,fixedSf_3_subFeatureLotId,fixedSf_4_subFeatureLotId,fixedSf_5_subFeatureLotId,freeSf_1_subFeatureLotId,freeSf_2_subFeatureLotId,freeSf_3_subFeatureLotId,uniqueItem14_head,uniqueItem14_tail,isGenericHolygrail,releaseFlagIdOffset,groupSf_1_subFeatureLotId,groupSf_2_subFeatureLotId,groupSf_3_subFeatureLotId,groupSf_4_subFeatureLotId,groupSf_5_subFeatureLotId
0,"デフォルト",0,0,0,0,1,-1,0,0,255,255,255,255,255,255,255,255,-1,0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,-1,-1,-1,-1,-1,-1,-1,-1,255,255,0,255,-1,-1,-1,-1,-1
6109,"固定聖杯【レベル1】トゥメル",1,0,109,0,1,0,100000,0,255,255,255,255,255,255,255,255,-1,109,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,-1,-1,995010110,-1,-1,994500000,-1,-1,255,255,0,64,-1,-1,-1,-1,-1
6209,"固定聖杯【レベル2】トゥメル",2,0,209,0,1,0,200000,0,255,255,255,255,255,255,255,255,-1,209,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,-1,-1,995010110,995010120,-1,994500000,-1,-1,255,255,0,71,-1,-1,-1,-1,-1
6219,"固定聖杯【レベル2】僻墓",2,0,219,1,1,1,201000,0,255,255,255,255,255,255,255,255,-1,219,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,-1,-1,995010220,991000000,-1,994500000,-1,-1,255,255,0,72,-1,-1,-1,-1,-1
6309,"固定聖杯【レベル3】トゥメル",3,0,309,0,1,0,300000,0,255,255,255,255,255,255,255,255,-1,309,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,996100000,998500000,995010110,995010120,-1,994500000,-1,-1,255,255,0,78,-1,-1,-1,-1,-1
6319,"固定聖杯【レベル3】僻墓",3,0,319,1,1,1,301000,0,255,255,255,255,255,255,255,255,-1,319,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,-1,998600000,995010220,995010230,991000000,994500000,-1,-1,255,255,0,79,-1,-1,-1,-1,-1
6409,"固定聖杯【レベル4】トゥメル_呪い",4,0,409,0,1,4,400000,0,255,255,255,255,255,255,255,255,-1,409,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,996200000,997000000,995010110,995010120,995010140,994500000,-1,-1,255,255,0,85,-1,-1,-1,-1,-1
6429,"固定聖杯【レベル4】ローラン",4,2,429,2,1,3,402000,0,255,255,255,255,255,255,255,255,-1,429,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,-1,-1,995010340,-1,-1,994500000,-1,-1,255,255,0,87,-1,-1,-1,-1,-1
6509,"固定聖杯【レベル5】トゥメル＝イル",5,0,509,0,1,4,500000,0,255,255,255,255,255,255,255,255,-1,509,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,996200000,998700000,995010110,995010120,995010140,994500000,-1,-1,255,255,0,92,-1,-1,-1,-1,-1
6529,"固定聖杯【レベル5】ローラン",5,2,529,2,1,3,502000,0,255,255,255,255,255,255,255,255,-1,529,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,-1,998800000,995010340,995010350,-1,994500000,-1,-1,255,255,0,94,-1,-1,-1,-1,-1
