ID,Description,yesNoDialogMessageId,limitCancelSpEffectId,sortId,refId,mp,stamina,iconId,behaviorId,mtrlItemId,replaceMagicId,maxQuantity,heroPoint,overDexterity,sfxVariationId,slotLength,requirementIntellect,requirementFaith,analogDexiterityMin,analogDexiterityMax,ezStateBehaviorType,refCategory,spEffectCategory,refType,opmeMenuType,hasSpEffectType,replaceCategory,useLimitCategory,vowType0:1,vowType1:1,vowType2:1,vowType3:1,vowType4:1,vowType5:1,vowType6:1,vowType7:1,enable_multi:1,enable_multi_only:1,isEnchant:1,isShieldEnchant:1,enable_live:1,enable_gray:1,enable_white:1,enable_black:1,disableOffline:1,castResonanceMagic:1,vowType8:1,vowType9:1,vowType10:1,vowType11:1,vowType12:1,vowType13:1,vowType14:1,vowType15:1
10,"【1stパブ版】魔法A_LV1～3",0,-1,1,0,8,0,3000,0,-1,-1,-1,0,99,-1,1,0,0,0,0,0,0,3,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1
20,"【1stパブ版】魔法B_LV1～2",0,-1,2,0,10,0,3001,0,-1,21,-1,0,99,-1,1,0,0,0,0,0,0,3,13,0,105,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1
21,"【1stパブ版】魔法B_LV3",0,-1,2,0,10,0,3001,0,-1,-1,-1,0,99,-1,1,0,0,0,0,0,0,3,13,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
30,"【銃テスト】銃弾",0,-1,2,80,10,0,3001,0,-1,-1,-1,0,99,-1,1,0,0,0,0,0,1,3,22,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1
31,"【銃テスト】ヒットリスト共有した3WAY弾",0,-1,2,89,0,0,3001,0,-1,-1,-1,0,99,-1,1,0,0,0,0,0,1,3,22,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1
2000,"触手召喚",0,-1,0,6400,2,0,12,0,-1,-1,-1,0,99,-1,1,0,0,0,0,0,1,3,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1
2010,"宇宙召喚",0,-1,1,6500,3,0,12,0,-1,-1,-1,0,99,-1,1,0,0,0,0,0,1,3,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1
2020,"リフレクトウォール",0,-1,2,10000,20,0,12,0,-1,-1,-1,0,99,-1,1,0,0,0,0,0,1,3,2,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1
2030,"ヌルヌル化",0,-1,3,2100,30,0,12,0,-1,-1,-1,0,99,-1,1,0,0,0,0,0,1,3,3,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1
2040,"ライト",0,-1,4,620,5,0,12,0,-1,-1,-1,0,99,-1,1,0,0,0,0,0,2,3,4,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1
