ID,Description,value,textId,compareType
100,"必要能力SABCDE",110.0,11051,1
101,"֘",85.0,11052,1
102,"֘",65.0,11053,1
103,"֘",55.0,11054,1
104,"֘",30.0,11055,1
105,"֘",1.0,11056,1
106,"֘",0.0,11050,2
110,"消費タイプ",1.0,16101,1
111,"֘",0.0,16102,2
120,"魔石スロット形状",8.0,14201,0
121,"֘",2.0,14202,0
122,"֘",1.0,14203,0
123,"֘",63.0,14204,0
124,"֘",4.0,14205,0
125,"֘",0.0,11050,2
130,"ボディジェムタイプ",1.0,15101,0
131,"֘",2.0,15102,0
132,"֘",0.0,11050,2
140,"聖杯タイプ",0.0,17100,0
141,"֘",1.0,17101,0
142,"֘",2.0,17102,0
143,"֘",3.0,17103,0
144,"֘",4.0,17104,0
145,"֘",5.0,17105,0
146,"֘",6.0,17106,0
147,"֘",0.0,11050,2
150,"PCのダメージカット率評価　SABCDE",0.800000011920929,11051,3
151,"֘",0.8399999737739563,11052,3
152,"֘",0.8899999856948853,11053,3
153,"֘",0.9599999785423279,11054,3
154,"֘",0.9800000190734863,11055,3
155,"֘",1.0,11056,2
160,"防具のダメージカット率評価　SABCDE",0.8899999856948853,11051,3
161,"֘",0.9200000166893005,11052,3
162,"֘",0.9399999976158142,11053,3
163,"֘",0.9599999785423279,11054,3
164,"֘",0.9800000190734863,11055,3
165,"֘",1.0,11056,2
