ID,Description,logicId,battleGoalID,nearDist,midDist,farDist,outDist,BackHomeLife_OnHitEneWal,goalID_ToCaution,idAttackCannotMove,goalID_ToFind,callHelp_ActionAnimId,callHelp_CallActionId,eye_dist,ear_dist,ear_soundcut_dist,nose_dist,maxBackhomeDist,backhomeDist,backhomeBattleDist,nonBattleActLife,BackHome_LookTargetTime,BackHome_LookTargetDist,SightTargetForgetTime,SoundTargetForgetTime,BattleStartDist,callHelp_MyPeerId,callHelp_CallPeerId,targetSys_DmgEffectRate,TeamAttackEffectivity,eye_angX,eye_angY,ear_angX,ear_angY,callHelp_CallValidMinDistTarget,callHelp_CallValidRange,callHelp_ForgetTimeByArrival,callHelp_MinWaitTime,callHelp_MaxWaitTime,goalAction_ToCaution,goalAction_ToFind,callHelp_ReplyBehaviorType,disablePathMove,skipArrivalVisibleCheck,thinkAttr_doAdmirer,enableNaviFlg_Edge:1,enableNaviFlg_LargeSpace:1,enableNaviFlg_Ladder:1,enableNaviFlg_Hole:1,enableNaviFlg_Door:1,enableNaviFlg_InSideWall:1,enableNaviFlg_Edge_Ordinary:1,eyeDist_forDark,battleStartDist_forDark,eyeDist_forPitchDark,battleStartDist_forPitchDark,platoonReplyTime,platoonReplyAddRandomTime,eye_BackOffsetDist,eye_BeginDist,target_ArriveDist,point_ArriveDist,changeStateAction_ToFind,changeStateAction_ToCaution,changeStateAction_ToBattle,goalAction_ToDisappear,disableLocalSteering,actTypeOnFailedPath,interestCategory,goalAction_ToInterest,goalID_ToInterest,changeStateAction_ToInterest,changeStateAction_ToNormal
250100,"テスト用",10000,11000,2.0,5.0,10.0,20.0,0.0,0,3000,0,-1,-1,20,10,0,0,75,50,15,5,10,20,150,150,20,0,0,100,25,70,80,90,180,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,10,10,5,7,0.0,0.0,3,3,1.0,1.0,0,0,0,2,0,2,100,3,0,0,0
1,"なにもしない用",11000,11000,3.0,6.0,20.0,30.0,0.0,0,3000,0,0,0,30,10,0,0,9999,9998,6,5,10,20,150,150,20,0,0,100,0,70,80,90,180,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,15,10,10,7,0.0,0.0,3,3,1.0,1.0,0,0,0,0,0,2,100,3,0,0,0
2,"ずっとついてくる用",11001,11000,3.0,6.0,20.0,30.0,0.0,0,3000,0,0,0,30,10,0,0,9999,9998,6,5,10,20,150,150,20,0,0,100,0,70,80,90,180,0,0,0,0,0,3,3,0,0,0,0,1,1,1,0,1,0,1,15,10,10,7,0.0,0.0,3,3,1.0,1.0,0,0,0,2,0,2,100,3,0,0,0
10,"あたりさわりのないデータ（コピペ元推奨）",10000,11000,2.0,5.0,10.0,20.0,5.0,0,3000,0,0,0,20,10,0,0,75,50,6,5,10,20,150,150,20,0,0,100,25,70,80,90,180,0,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,1,10,10,7,7,0.0,0.0,3,3,1.0,1.0,0,0,0,2,0,2,100,3,0,0,0
100,"SP　ガード確認用ロジック",100,11000,2.0,5.0,10.0,20.0,5.0,0,3000,0,-1,-1,20,10,0,0,75,50,6,5,10,20,150,150,20,0,0,100,25,70,80,90,180,0,0,0,0,0,2,2,0,0,0,0,1,1,1,0,0,0,1,10,10,7,7,0.0,0.0,3,3,1.0,1.0,0,0,0,2,0,2,100,3,0,0,0
200,"SP　HavokBehavior検証用",10000,200,2.0,5.0,10.0,20.0,5.0,0,3000,0,-1,-1,20,10,0,0,75,50,6,5,10,20,150,150,20,0,0,100,25,70,80,90,180,0,0,0,0,0,2,2,0,0,0,0,1,1,1,0,0,0,1,10,10,7,7,0.0,0.0,3,3,1.0,1.0,0,0,0,2,0,2,100,3,0,0,0
210,"SP　群衆B（レンガ）　アクションテスト用",10000,210,2.0,5.0,10.0,20.0,5.0,0,3000,0,0,0,25,10,0,0,75,50,6,5,7,20,150,150,20,0,0,100,25,70,80,90,180,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,1,12,12,8,8,0.0,0.0,3,3,1.0,1.0,0,0,0,1,0,2,100,3,0,0,0
220,"SP　群衆B（レンガ）　フレームワークテスト用",10000,220,2.0,5.0,10.0,20.0,5.0,0,3000,0,0,0,25,10,0,0,75,50,6,5,10,20,150,150,20,0,0,100,25,70,80,90,180,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,1,12,12,8,8,0.0,0.0,3,3,1.0,1.0,0,0,0,1,0,2,100,3,0,0,0
300,"SP　猟犬_警戒行動テスト",10100,100000,1.5,3.5,10.0,20.0,5.0,0,3000,0,0,0,20,10,0,5,75,50,6,5,10,20,150,150,20,0,0,100,25,70,80,90,180,0,0,0,0,0,2,2,0,0,0,1,1,1,0,0,0,0,1,10,10,7,7,0.0,0.0,3,3,1.0,1.0,0,0,0,2,0,2,100,3,0,0,0
500,"SP　猟犬_攻撃ゴールバグ検証用",10000,500,1.5,3.5,10.0,20.0,5.0,0,3000,0,0,0,20,10,0,5,75,50,6,5,10,20,150,150,17,0,0,100,25,70,80,90,180,0,0,0,0,0,2,1,0,0,0,1,1,1,0,0,0,0,1,10,10,7,6,0.0,0.0,3,3,1.0,1.0,0,0,0,2,0,2,100,3,0,0,0
501,"平井テスト用　仲間を助けます",10000,10006,2.0,5.0,10.0,20.0,5.0,0,3000,0,-1,-1,20,10,0,0,75,50,6,5,10,20,150,150,20,0,0,100,25,70,80,90,180,0,0,20,0,0,2,2,0,0,0,1,1,1,0,0,0,0,1,10,10,7,7,0.0,0.0,3,3,1.0,1.0,0,0,0,2,0,2,100,3,0,0,0
502,"平井テスト用　ハシゴ大好きNPC",10000,10010,2.0,3.5,10.0,20.0,5.0,0,-1,0,-1,-1,20,10,0,1000,9999,9998,6,5,10,20,150,150,1000,0,0,100,25,70,80,90,180,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,10,500,7,333,0.0,0.0,3,3,1.0,1.0,0,0,0,1,0,2,100,3,0,0,0
503,"棺投げ専用　スケルトン（大）",10000,20000,2.0,5.0,10.0,20.0,5.0,0,3000,0,-1,-1,20,10,0,0,75,50,6,5,10,20,3000,150,9,0,0,100,25,70,80,90,180,0,0,20,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,10,4,7,3,0.0,0.0,3,3,1.0,1.0,0,0,0,1,0,2,100,3,0,0,0
505,"死霊（男）　仲間呼びテスト",10000,267000,2.0,4.0,10.0,20.0,5.0,0,3000,0,-1,-1,30,10,0,5,75,50,6,5,10,20,150,150,20,1,0,100,25,70,80,90,180,0,50,30,20,40,2,2,1,0,0,1,1,1,1,1,1,1,1,15,10,10,7,0.0,0.0,3,3,1.0,1.0,0,0,0,2,0,2,100,3,0,0,0
506,"死霊（女）　仲間呼びテスト",10000,268000,2.0,4.0,10.0,20.0,5.0,0,3000,0,-1,7300,30,10,0,3,75,50,6,5,10,20,150,150,20,0,1,100,25,70,80,90,180,0,50,20,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,15,10,10,7,0.0,0.0,3,3,1.0,1.0,0,0,0,0,0,2,100,3,0,0,0
510,"帰巣テスト　不死人",10000,250000,2.0,4.0,10.0,20.0,5.0,0,3000,0,-1,-1,20,10,0,0,50,30,6,5,10,20,150,150,20,0,0,100,25,70,80,90,180,0,0,0,0,0,2,2,0,0,0,1,1,1,1,0,1,0,1,10,10,7,7,0.0,0.0,3,3,1.0,1.0,0,0,0,2,0,2,100,3,0,0,0
511,"平井テスト用　パリィ専用スケルトン",10000,10008,2.0,5.0,10.0,20.0,5.0,0,3000,0,0,0,20,10,0,0,75,50,6,5,10,20,150,150,20,0,0,100,25,70,80,90,180,0,0,0,0,0,2,2,0,0,0,0,1,1,1,0,0,0,1,10,10,7,7,0.0,0.0,3,3,1.0,1.0,0,0,0,2,0,2,100,3,0,0,0
512,"平井テスト　新型・不死人（重戦士・槍）",10000,10009,1.5,3.5,10.0,20.0,5.0,0,3000,0,-1,-1,30,10,0,0,75,50,6,5,10,20,150,150,20,0,0,100,25,70,80,90,180,0,0,20,0,0,2,2,1,0,0,1,1,1,1,0,1,0,1,15,10,10,7,0.0,0.0,3,3,1.0,1.0,0,0,0,2,0,2,100,3,0,0,0
513,"平井テスト　ガード大好き",10000,10011,1.5,3.5,10.0,20.0,5.0,0,3000,0,-1,-1,30,10,0,0,75,50,6,5,10,20,150,150,20,0,0,100,25,70,80,90,180,0,0,20,0,0,2,2,1,0,0,1,1,1,1,0,1,0,1,15,10,10,7,0.0,0.0,3,3,1.0,1.0,0,0,0,2,0,2,100,3,0,0,0
514,"ワイバーン・鳥制御テスト",10000,514,4.0,8.0,30.0,50.0,0.0,0,3001,0,-1,0,200,10,0,5,9999,9998,6,5,10,20,150,150,50,0,0,100,0,70,80,90,180,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,100,25,67,17,0.0,0.0,3,3,1.0,1.0,0,0,0,1,0,2,100,3,0,0,0
515,"ワイバーン・鳥制御テスト（２匹目）",10000,514,4.0,8.0,30.0,50.0,0.0,0,3001,0,-1,0,200,10,0,5,9999,9998,6,5,10,20,150,150,50,0,0,100,0,70,80,90,180,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,100,25,67,17,0.0,0.0,3,3,1.0,1.0,0,0,0,1,0,2,100,3,0,0,0
520,"NPCプレイヤーテスト",10000,12010,2.0,5.0,10.0,20.0,0.0,0,-1,0,-1,-1,20,10,0,0,50,40,6,5,10,20,150,150,20,0,0,100,25,70,80,90,180,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,1,10,10,7,7,0.0,0.0,3,3,1.0,1.0,0,0,0,1,0,2,100,3,0,0,0
530,"DS2Test 川上テスト用0",10000,13000,2.0,5.0,10.0,20.0,0.0,0,3000,0,9020,9010,20,10,0,0,500,450,6,5,10,20,150,150,20,0,0,100,25,70,80,90,180,0,0,20,20,40,1,1,1,0,0,0,1,1,1,0,1,1,1,10,10,7,7,0.0,0.0,3,3,1.0,1.0,0,0,0,1,0,2,100,3,0,0,0
531,"DS2Test 川上テスト用1",10000,13001,2.0,5.0,10.0,20.0,0.0,0,3000,0,9020,9010,20,10,0,0,500,450,6,5,10,20,150,150,20,0,0,100,25,70,80,90,180,0,0,20,20,40,1,1,1,0,0,0,1,1,1,0,1,1,1,10,10,7,7,0.0,0.0,3,3,1.0,1.0,0,0,0,1,0,2,100,3,0,0,0
532,"DS2Test 川上テスト用2",10000,13002,2.0,5.0,10.0,20.0,0.0,0,3000,0,9020,9010,20,10,0,0,500,450,6,5,10,20,150,150,20,0,0,100,25,70,80,90,180,0,0,20,20,40,1,1,1,0,0,0,1,1,1,0,1,1,1,10,10,7,7,0.0,0.0,3,3,1.0,1.0,0,0,0,1,0,2,100,3,0,0,0
533,"DS2Test 川上テスト用3",10000,13003,2.0,5.0,10.0,20.0,0.0,0,3000,0,9020,9010,20,10,0,0,500,450,6,5,10,20,150,150,20,0,0,100,25,70,80,90,180,0,0,20,20,40,1,1,1,0,0,0,1,1,1,0,1,1,1,10,10,7,7,0.0,0.0,3,3,1.0,1.0,0,0,0,1,0,2,100,3,0,0,0
534,"DS2Test 川上テスト用4",10000,13004,2.0,5.0,10.0,20.0,0.0,0,3000,0,9020,9010,20,10,0,0,500,450,6,5,10,20,150,150,20,0,0,100,25,70,80,90,180,0,0,20,20,40,1,1,1,0,0,0,1,1,1,0,1,1,1,10,10,7,7,0.0,0.0,3,3,1.0,1.0,0,0,0,1,0,2,100,3,0,0,0
535,"DS2Test 川上テスト用5",10000,13005,2.0,5.0,10.0,20.0,0.0,0,3000,0,9020,9010,20,10,0,0,500,450,6,5,10,20,150,150,20,0,0,100,25,70,80,90,180,0,0,20,20,40,1,1,1,0,0,0,1,1,1,0,1,1,1,10,10,7,7,0.0,0.0,3,3,1.0,1.0,0,0,0,1,0,2,100,3,0,0,0
536,"DS2Test 川上テスト用6",10000,13006,2.0,5.0,10.0,20.0,0.0,0,3000,0,9020,9010,20,10,0,0,500,450,6,5,10,20,150,150,20,0,0,100,25,70,80,90,180,0,0,20,20,40,1,1,1,0,0,0,1,1,1,0,1,1,1,10,10,7,7,0.0,0.0,3,3,1.0,1.0,0,0,0,1,0,2,100,3,0,0,0
537,"DS2Test 川上テスト用7",10000,13007,2.0,5.0,10.0,20.0,0.0,0,3000,0,9020,9010,20,10,0,0,500,450,6,5,10,20,150,150,20,0,0,100,25,70,80,90,180,0,0,20,20,40,1,1,1,0,0,0,1,1,1,0,1,1,1,10,10,7,7,0.0,0.0,3,3,1.0,1.0,0,0,0,1,0,2,100,3,0,0,0
538,"DS2Test 川上テスト用8",10000,13008,2.0,5.0,10.0,20.0,0.0,0,3000,0,9020,9010,20,10,0,0,500,450,6,5,10,20,150,150,20,0,0,100,25,70,80,90,180,0,0,20,20,40,1,1,1,0,0,0,1,1,1,0,1,1,1,10,10,7,7,0.0,0.0,3,3,1.0,1.0,0,0,0,1,0,2,100,3,0,0,0
539,"DS2Test 川上テスト用9",10000,13009,2.0,5.0,10.0,20.0,0.0,0,3000,0,9020,9010,20,10,0,0,500,450,6,5,10,20,150,150,20,0,0,100,25,70,80,90,180,0,0,20,20,40,1,1,1,0,0,0,1,1,1,0,1,1,1,10,10,7,7,0.0,0.0,3,3,1.0,1.0,0,0,0,1,0,2,100,3,0,0,0
