ID,Description,hp,defense,extRefTexId,materialId,animBreakIdMax,isCamHit:1,isBreakByPlayerCollide:1,isAnimBreak:1,isPenetrationBulletHit:1,isChrHit:1,isAttackBacklash:1,isDisableBreakForFirstAppear:1,isLadder:1,isAnimPauseOnRemoPlay:1,isDamageNoHit:1,isMoveObj:1,defaultLodParamId,breakSfxId,navimeshFlag,paintRenderTargetSize,breakAiSoundId
0,"バリスタ",-1,0,-1,-1,0,0,0,0,0,1,1,0,0,0,0,0,-1,-1,0,256,0
300,"m20_01霧の壁",-1,0,-1,29,0,1,0,0,1,1,0,0,0,0,0,0,-1,-1,0,256,0
310,"m20_01エレベータ",-1,0,-1,9,0,1,0,0,1,1,1,0,0,1,0,1,-1,-1,0,256,0
320,"m20_01レバー",-1,0,-1,9,0,1,0,0,1,1,1,0,0,0,0,0,-1,-1,0,256,0
330,"m20_01壊れる窓",999,999,-1,9,0,1,0,0,0,1,0,0,0,0,0,0,-1,-1,0,256,0
430,"m20_01木の棺",1,0,-1,4,0,1,0,0,0,1,1,0,0,0,0,0,-1,-1,0,256,0
431,"m20_01木の箱（小）",1,0,-1,4,0,1,0,0,0,1,1,0,0,0,0,0,-1,-1,0,256,0
432,"m20_01木の箱（布被せ）",1,0,-1,4,0,1,0,0,0,1,1,0,0,0,0,0,-1,-1,0,256,0
433,"m20_01台車",1,0,-1,4,0,1,0,0,0,1,1,0,0,0,0,0,-1,-1,0,256,0
434,"プロト壊れる箱",1,3,-1,9,0,0,0,0,0,1,0,0,0,0,0,0,-1,-1,0,256,0
436,"m20_01机",1,0,-1,4,0,1,0,0,0,1,1,0,0,0,0,0,-1,-1,0,256,0
437,"m20_01椅子",1,0,-1,4,0,1,0,0,0,1,1,0,0,0,0,0,-1,-1,0,256,0
438,"m20_01木の箱（中）",-1,0,-1,4,0,1,0,0,0,1,1,0,0,0,0,0,-1,-1,0,256,0
442,"m20_01タル",1,0,-1,4,0,1,0,0,0,1,1,0,0,0,0,0,-1,-1,0,256,0
443,"m20_01壊れたタル",1,0,-1,4,0,1,0,0,0,1,1,0,0,0,0,0,-1,-1,0,256,0
446,"m20_01棺（模様有）",-1,0,-1,9,0,1,0,0,0,1,1,0,0,0,0,0,-1,-1,0,256,0
454,"m20_01彫像_大",-1,0,-1,9,0,1,0,0,0,1,1,0,0,0,0,0,-1,-1,0,256,0
455,"m20_01彫像_中",-1,0,-1,9,0,1,0,0,0,1,1,0,0,0,0,0,-1,-1,0,256,0
456,"m20_01彫像_小",-1,0,-1,9,0,1,0,0,0,1,1,0,0,0,0,0,-1,-1,0,256,0
457,"m20_01彫像_布なし",-1,0,-1,9,0,1,0,0,0,1,1,0,0,0,0,0,-1,-1,0,256,0
459,"m20_01彫像_ちょっと大",-1,0,-1,9,0,1,0,0,0,1,1,0,0,0,0,0,-1,-1,0,256,0
470,"m20_01聖堂大扉",-1,0,-1,9,0,1,0,0,0,1,1,0,0,1,0,0,-1,-1,0,256,0
471,"m20_01屋敷2F扉",-1,0,-1,9,0,1,0,0,0,1,1,0,0,1,0,0,-1,-1,0,256,0
472,"m20_01屋敷1F扉",-1,0,-1,9,0,1,0,0,0,1,1,0,0,1,0,0,-1,-1,0,256,0
473,"m20_01聖堂前鉄格子",-1,0,-1,9,0,0,0,0,0,1,1,0,0,1,0,0,-1,-1,0,256,0
474,"m20_01屋敷前鉄格子",-1,0,-1,9,0,0,0,0,0,1,1,0,0,1,0,0,-1,-1,0,256,0
475,"m20_01屋敷小扉",-1,0,-1,4,0,1,0,0,0,1,1,0,0,1,0,0,-1,-1,0,256,0
467,"シャンデリア破壊",1,3,-1,9,0,0,0,0,0,1,0,0,0,0,0,0,-1,-1,0,256,0
513,"プロト壺",1,0,-1,9,0,0,0,0,0,1,0,0,0,0,0,0,-1,-1,0,256,0
514,"プロト壺",1,0,-1,9,0,0,0,0,0,1,0,0,0,0,0,0,-1,-1,0,256,0
515,"プロト壺",1,0,-1,9,0,0,0,0,0,1,0,0,0,0,0,0,-1,-1,0,256,0
516,"プロト壺",1,0,-1,9,0,0,0,0,0,1,0,0,0,0,0,0,-1,-1,0,256,0
600,"ワープおっさん",-1,0,-1,29,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,256,0
640,"宝死体用汎用椅子（ボロ）",-1,0,-1,4,0,0,0,0,0,1,0,0,0,0,0,0,-1,-1,0,256,0
642,"宝死体用汎用椅子（きれい）",-1,0,-1,4,0,0,0,0,0,1,0,0,0,0,0,0,-1,-1,0,256,0
700,"書置き",-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,1,0,-1,-1,0,256,0
1000,"テーブル",1,3,-1,4,0,0,0,0,0,1,0,0,0,0,0,0,-1,-1,0,256,0
1001,"テーブル",1,3,-1,4,0,0,0,0,0,1,0,0,0,0,0,0,-1,-1,0,256,0
1002,"テーブル",1,3,-1,4,0,0,0,0,0,1,0,0,0,0,0,0,-1,-1,0,256,0
1005,"ベンチ",1,3,-1,4,0,0,0,0,0,1,0,0,0,0,0,0,-1,-1,0,256,0
1010,"ドア",-1,3,-1,4,0,1,0,0,0,1,1,0,0,0,0,0,-1,-1,0,256,0
1011,"壊れたドア",1,3,-1,4,0,1,0,0,0,1,0,0,0,0,0,0,-1,-1,0,256,0
1020,"はしご",-1,0,-1,4,0,1,0,0,0,1,1,0,0,0,0,0,-1,-1,0,256,0
