ID,Description,pcAttrB,pcAttrW,pcAttrL,pcAttrR,areaAttrB,areaAttrW,areaAttrL,areaAttrR
0,"テスト用",0,0,0,0,0,0,0,0
1,"test1",0,20,0,0,10,0,0,0
2,"test2",30,0,0,20,0,0,0,10
100,"ゴースト化する",0,0,0,0,60,0,0,0
110,"トゥルーデスする",0,0,0,0,30,0,0,0
200,"マルチでホワイトゴーストを復活させる",0,10,0,0,0,60,0,0
210,"マルチでホストを倒す",80,0,0,0,0,0,0,0
220,"マルチでホワイトゴーストを倒す",80,0,0,0,30,0,0,0
230,"マルチでブラックゴーストを倒す",0,80,0,0,0,60,0,0
80000,"賢者ロガーンにDSを渡す",0,0,30,0,0,0,0,0
80010,"魔女ユーリアにDSを渡す",0,0,40,0,0,0,0,0
80020,"聖者ウルベインにDSを渡す",0,0,0,40,0,0,0,0
