ID,Description,physicsDefRate,magicDefRate,fireDefRate,thunderDefRate,slashDefRate,blowDefRate,thrustDefRate,resistPoisonRate,resistDiseaseRate,resistBloodRate,resistCurseRate,residentSpEffectId1,residentSpEffectId2,residentSpEffectId3,materialSetId
0,"通常",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0
1,"通常＋1",1.100000023841858,1.100000023841858,1.100000023841858,1.100000023841858,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1
2,"通常＋2",1.2000000476837158,1.2000000476837158,1.2000000476837158,1.2000000476837158,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,2
3,"通常＋3",1.2999999523162842,1.2999999523162842,1.2999999523162842,1.2999999523162842,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,3
4,"通常＋4",1.4299999475479126,1.4299999475479126,1.4299999475479126,1.4299999475479126,1.0,1.0,1.0,1.0499999523162842,1.0499999523162842,1.0499999523162842,1.0499999523162842,0,0,0,4
5,"通常＋5",1.559999942779541,1.559999942779541,1.559999942779541,1.559999942779541,1.0,1.0,1.0,1.100000023841858,1.100000023841858,1.100000023841858,1.100000023841858,0,0,0,5
6,"通常＋6",1.690000057220459,1.690000057220459,1.690000057220459,1.690000057220459,1.0,1.0,1.0,1.149999976158142,1.149999976158142,1.149999976158142,1.149999976158142,0,0,0,6
7,"通常＋7",1.850000023841858,1.850000023841858,1.850000023841858,1.850000023841858,1.0,1.0,1.0,1.2000000476837158,1.2000000476837158,1.2000000476837158,1.2000000476837158,0,0,0,7
8,"通常＋8",2.009999990463257,2.009999990463257,2.009999990463257,2.009999990463257,1.0,1.0,1.0,1.25,1.25,1.25,1.25,0,0,0,8
9,"通常＋9",2.1700000762939453,2.1700000762939453,2.1700000762939453,2.1700000762939453,1.0,1.0,1.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0,0,9
10,"通常＋10",2.4200000762939453,2.4200000762939453,2.4200000762939453,2.4200000762939453,1.0,1.0,1.0,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0,0,0,10
100,"特殊",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0
101,"特殊＋1",1.0800000429153442,1.0800000429153442,1.0800000429153442,1.0800000429153442,1.0,1.0,1.0,1.0499999523162842,1.0499999523162842,1.0499999523162842,1.0499999523162842,0,0,0,1
102,"特殊＋2",1.190000057220459,1.190000057220459,1.190000057220459,1.190000057220459,1.0,1.0,1.0,1.090000033378601,1.090000033378601,1.090000033378601,1.090000033378601,0,0,0,2
103,"特殊＋3",1.2899999618530273,1.2899999618530273,1.2899999618530273,1.2899999618530273,1.0,1.0,1.0,1.1399999856948853,1.1399999856948853,1.1399999856948853,1.1399999856948853,0,0,0,3
104,"特殊＋4",1.3899999856948853,1.3899999856948853,1.3899999856948853,1.3899999856948853,1.0,1.0,1.0,1.1799999475479126,1.1799999475479126,1.1799999475479126,1.1799999475479126,0,0,0,4
105,"特殊＋5",1.5499999523162842,1.5499999523162842,1.5499999523162842,1.5499999523162842,1.0,1.0,1.0,1.2699999809265137,1.2699999809265137,1.2699999809265137,1.2699999809265137,0,0,0,5
