ID,Description,useSoul,materialItemId_1,materialItemId_2,materialItemId_3,materialItemId_4,materialItemId_5,num_1,num_2,num_3,num_4,num_5
0,"デフォルト",0,0,0,0,0,0,0,0,0,0,0
109,"固定聖杯【レベル1】 A：トゥメル",1000,7000,0,0,0,0,2,0,0,0,0
209,"固定聖杯【レベル2】 A：トゥメル",1800,7001,0,0,0,0,6,0,0,0,0
219,"固定聖杯【レベル2】 B：僻墓",1800,7001,7150,0,0,0,3,3,0,0,0
309,"固定聖杯【レベル3】 A：トゥメル",3200,7002,0,0,0,0,9,0,0,0,0
319,"固定聖杯【レベル3】 B：僻墓",3200,7002,7150,0,0,0,6,6,0,0,0
409,"固定聖杯【レベル4】 A：トゥメル_呪い",5500,7003,7140,7050,0,0,9,2,22,0,0
429,"固定聖杯【レベル4】 C：ローラン",5500,7003,7012,0,0,0,9,4,0,0,0
509,"固定聖杯【レベル5】 A：トゥメル",11500,7004,7110,7050,7200,0,9,4,25,1,0
529,"固定聖杯【レベル5】 C：ローラン",11500,7004,7014,0,0,0,9,4,0,0,0
539,"固定聖杯【レベル5】 D：イズ",11500,7004,7100,7050,0,0,9,3,25,0,0
629,"固定聖杯【レベル6】 C：ローラン",300,0,0,0,0,0,0,0,0,0,0
639,"固定聖杯【レベル6】 D：イズ",300,0,0,0,0,0,0,0,0,0,0
809,"固定聖杯【レベル8】 A：トゥメル",300,0,0,0,0,0,0,0,0,0,0
1809,"固定聖杯【レベル8】 A：トゥメル_追加素材",300,0,0,0,0,0,0,0,0,0,0
10000,"自動生成聖杯【レベル1】 A：トゥメル",1000,7000,7020,0,0,0,2,3,0,0,0
20000,"自動生成聖杯【レベル2】 A：トゥメル",1800,7001,7021,0,0,0,8,6,0,0,0
20010,"自動生成聖杯【レベル2】 A：トゥメル：敵強化",0,7120,0,0,0,0,2,0,0,0,0
21000,"自動生成聖杯【レベル2】 B：僻墓",1800,7001,7021,7150,0,0,8,10,3,0,0
21010,"自動生成聖杯【レベル2】 B：僻墓：敵強化",0,7120,0,0,0,0,2,0,0,0,0
30000,"自動生成聖杯【レベル3】 A：トゥメル",3200,7002,7022,0,0,0,12,8,0,0,0
30010,"自動生成聖杯【レベル3】 A：トゥメル：敵強化",0,7120,0,0,0,0,4,0,0,0,0
30020,"自動生成聖杯【レベル3】 A：トゥメル：特殊強敵",0,7130,0,0,0,0,3,0,0,0,0
30200,"自動生成聖杯【レベル3】 A：トゥメル_マルチ",3200,7002,7022,0,0,0,12,8,0,0,0
30240,"自動生成聖杯【レベル3】 A：トゥメル_マルチ：敵対マルチ",0,7050,0,0,0,0,19,0,0,0,0
31000,"自動生成聖杯【レベル3】 B：僻墓",3200,7002,7022,7150,0,0,12,3,6,0,0
31010,"自動生成聖杯【レベル3】 B：僻墓：敵強化",0,7120,0,0,0,0,4,0,0,0,0
31020,"自動生成聖杯【レベル3】 B：僻墓：特殊強敵",0,7130,0,0,0,0,3,0,0,0,0
31200,"自動生成聖杯【レベル3】 B：僻墓_マルチ",3200,7002,7022,7150,0,0,12,3,6,0,0
31240,"自動生成聖杯【レベル3】 B：僻墓_マルチ：敵対マルチ",0,7050,0,0,0,0,19,0,0,0,0
40100,"自動生成聖杯【レベル4】 A：トゥメル_呪い",5500,7003,7023,0,0,0,10,6,0,0,0
40110,"自動生成聖杯【レベル4】 A：トゥメル_呪い：敵強化",0,7121,0,0,0,0,3,0,0,0,0
40120,"自動生成聖杯【レベル4】 A：トゥメル_呪い：特殊強敵",0,7130,0,0,0,0,5,0,0,0,0
40170,"自動生成聖杯【レベル4】 A：トゥメル_呪い：呪い",0,7140,0,0,0,0,3,0,0,0,0
42000,"自動生成聖杯【レベル4】 C：ローラン",5500,7003,7013,7023,0,0,14,3,3,0,0
42010,"自動生成聖杯【レベル4】 C：ローラン：敵強化",0,7121,0,0,0,0,3,0,0,0,0
42020,"自動生成聖杯【レベル4】 C：ローラン：特殊強敵",0,7130,0,0,0,0,5,0,0,0,0
50000,"自動生成聖杯【レベル5】 A：トゥメル",11500,7004,7024,7110,0,0,15,15,2,0,0
50010,"自動生成聖杯【レベル5】 A：トゥメル：敵強化",0,7121,0,0,0,0,6,0,0,0,0
50020,"自動生成聖杯【レベル5】 A：トゥメル：特殊強敵",0,7131,0,0,0,0,6,0,0,0,0
50070,"自動生成聖杯【レベル5】 A：トゥメル：呪い",0,7140,0,0,0,0,3,0,0,0,0
50200,"自動生成聖杯【レベル5】 A：トゥメル_マルチ",11500,7004,7024,7110,0,0,15,15,2,0,0
50240,"自動生成聖杯【レベル5】 A：トゥメル_マルチ：敵対マルチ",0,7050,0,0,0,0,32,0,0,0,0
52000,"自動生成聖杯【レベル5】 C：ローラン",11500,7004,7014,7024,7110,0,13,4,5,1,0
52010,"自動生成聖杯【レベル5】 C：ローラン：敵強化",0,7121,0,0,0,0,6,0,0,0,0
52020,"自動生成聖杯【レベル5】 C：ローラン：特殊強敵",0,7131,0,0,0,0,6,0,0,0,0
52070,"自動生成聖杯【レベル5】 C：ローラン：呪い",0,7140,0,0,0,0,3,0,0,0,0
52200,"自動生成聖杯【レベル5】 C：ローラン_マルチ",11500,7004,7014,7024,7110,0,13,4,5,1,0
52240,"自動生成聖杯【レベル5】 C：ローラン_マルチ：敵対マルチ",0,7050,0,0,0,0,32,0,0,0,0
53000,"自動生成聖杯【レベル5】 D：イズ",11500,7004,7024,7100,7110,0,13,5,3,1,0
53010,"自動生成聖杯【レベル5】 D：イズ：敵強化",0,7121,0,0,0,0,6,0,0,0,0
53020,"自動生成聖杯【レベル5】 D：イズ：特殊強敵",0,7131,0,0,0,0,6,0,0,0,0
53070,"自動生成聖杯【レベル5】 D：イズ：呪い",0,7140,0,0,0,0,3,0,0,0,0
53200,"自動生成聖杯【レベル5】 D：イズ_マルチ",11500,7004,7024,7100,7110,0,13,5,3,1,0
53240,"自動生成聖杯【レベル5】 D：イズ_マルチ：敵対マルチ",0,7050,0,0,0,0,32,0,0,0,0
60100,"自動生成聖杯【レベル6】 A：トゥメル_呪い",10,7000,0,0,0,0,1,0,0,0,0
60110,"自動生成聖杯【レベル6】 A：トゥメル_呪い：敵強化",10,7000,0,0,0,0,1,0,0,0,0
60120,"自動生成聖杯【レベル6】 A：トゥメル_呪い：特殊強敵",10,7000,0,0,0,0,1,0,0,0,0
60170,"自動生成聖杯【レベル6】 A：トゥメル_呪い：呪い",10,7000,0,0,0,0,1,0,0,0,0
62100,"自動生成聖杯【レベル6】 C：ローラン_呪い",10,7000,0,0,0,0,1,0,0,0,0
62110,"自動生成聖杯【レベル6】 C：ローラン_呪い：敵強化",10,7000,0,0,0,0,1,0,0,0,0
62120,"自動生成聖杯【レベル6】 C：ローラン_呪い：特殊強敵",10,7000,0,0,0,0,1,0,0,0,0
62170,"自動生成聖杯【レベル6】 C：ローラン_呪い：呪い",10,7000,0,0,0,0,1,0,0,0,0
63100,"自動生成聖杯【レベル6】 D：イズ_呪い",10,7000,0,0,0,0,1,0,0,0,0
63110,"自動生成聖杯【レベル6】 D：イズ_呪い：敵強化",10,7000,0,0,0,0,1,0,0,0,0
63120,"自動生成聖杯【レベル6】 D：イズ_呪い：特殊強敵",10,7000,0,0,0,0,1,0,0,0,0
63170,"自動生成聖杯【レベル6】 D：イズ_呪い：呪い",10,7000,0,0,0,0,1,0,0,0,0
70100,"自動生成聖杯【レベル7】 A：トゥメル_呪い",10,7000,0,0,0,0,1,0,0,0,0
70110,"自動生成聖杯【レベル7】 A：トゥメル_呪い：敵強化",10,7000,0,0,0,0,1,0,0,0,0
70120,"自動生成聖杯【レベル7】 A：トゥメル_呪い：特殊強敵",10,7000,0,0,0,0,1,0,0,0,0
70170,"自動生成聖杯【レベル7】 A：トゥメル_呪い：呪い",10,7000,0,0,0,0,1,0,0,0,0
70200,"自動生成聖杯【レベル7】 A：トゥメル_マルチ",10,7000,0,0,0,0,1,0,0,0,0
70240,"自動生成聖杯【レベル7】 A：トゥメル_マルチ：敵対マルチ",10,7000,0,0,0,0,1,0,0,0,0
70300,"自動生成聖杯【レベル7】 A：トゥメル_ひどい呪い",10,7000,0,0,0,0,1,0,0,0,0
70310,"自動生成聖杯【レベル7】 A：トゥメル_ひどい呪い：敵強化",10,7000,0,0,0,0,1,0,0,0,0
70320,"自動生成聖杯【レベル7】 A：トゥメル_ひどい呪い：特殊強敵",10,7000,0,0,0,0,1,0,0,0,0
