ID,Description,neckTurnGain,originalGroundHeightMS,minAnkleHeightMS,maxAnkleHeightMS,cosineMaxKneeAngle,cosineMinKneeAngle,footPlantedAnkleHeightMS,footRaisedAnkleHeightMS,raycastDistanceUp,raycastDistanceDown,footEndLS_X,footEndLS_Y,footEndLS_Z,onOffGain,groundAscendingGain,groundDescendingGain,footRaisedGain,footPlantedGain,footUnlockGain,kneeAxisType,useFootLocking,footPlacementOn,twistKneeAxisType,neckTurnPriority,neckTurnMaxAngle
0,"動かない",0.0,0,-30,70,-95,55,1,30,70,55,0,0,0,18,100,100,20,100,80,4,0,1,1,-1,0
1,"NPC共通 首",0.20000000298023224,0,-30,70,-95,55,1,30,70,55,0,0,0,18,100,100,20,100,80,4,0,1,1,0,65
2,"NPC共通 胴1",0.10000000149011612,0,-30,70,-95,55,1,30,70,55,0,0,0,18,100,100,20,100,80,4,0,1,1,1,15
3,"NPC共通 胴2",0.10000000149011612,0,-30,70,-95,55,1,30,70,55,0,0,0,18,100,100,20,100,80,4,0,1,1,2,5
5,"4脚共通 首",0.30000001192092896,0,-30,70,-95,55,1,30,70,55,0,0,0,18,100,100,20,100,80,4,0,1,1,0,15
10,"人型汎用左足",0.0,0,-30,70,-95,55,1,30,70,55,0,0,0,18,100,100,20,100,80,4,0,1,1,0,0
11,"人型汎用右足",0.0,0,-30,70,-95,55,1,30,70,55,0,0,0,18,100,100,20,100,80,4,0,1,1,0,0
18,"コピー_テスト右脚",0.0,0,-200,230,-95,55,1,30,250,235,0,0,80,18,100,100,20,100,80,4,0,1,1,0,0
19,"コピー_テスト左脚",0.0,0,-200,230,-95,55,1,30,250,235,0,0,80,18,100,100,20,100,80,4,0,1,1,0,0
100,"ヒロイン",0.05000000074505806,0,-30,70,-95,55,1,30,70,55,0,0,0,18,100,100,20,100,80,4,0,1,1,0,50
200,"要人",0.20000000298023224,0,-30,70,-95,55,1,30,70,55,0,0,0,18,100,100,20,100,80,4,0,1,1,0,50
300,"鍛冶屋江戸",0.20000000298023224,0,-30,70,-95,55,1,30,70,55,0,0,0,18,100,100,20,100,80,4,0,1,1,0,40
400,"奴隷兵士",0.20000000298023224,0,-30,70,-95,55,1,30,70,55,0,0,0,18,100,100,20,100,80,4,0,1,1,0,50
500,"元貴族婦人",0.20000000298023224,0,-30,70,-95,55,1,30,70,55,0,0,0,18,100,100,20,100,80,4,0,1,1,0,50
600,"人形使い",0.20000000298023224,0,-30,70,-95,55,1,30,70,55,0,0,0,18,100,100,20,100,80,4,0,1,1,0,50
700,"乞食女",0.20000000298023224,0,-30,70,-95,55,1,30,70,55,0,0,0,18,100,100,20,100,80,4,0,1,1,0,50
800,"ボールドウィン",0.20000000298023224,0,-30,70,-95,55,1,30,70,55,0,0,0,18,100,100,20,100,80,4,0,1,1,0,50
900,"乞食男",0.20000000298023224,0,-30,70,-95,55,1,30,70,55,0,0,0,18,100,100,20,100,80,4,0,1,1,0,40
998,"コピー_旧汎用左足",0.0,0,-200,230,-95,55,1,30,250,235,0,0,80,18,100,100,20,100,80,4,0,1,1,0,0
999,"コピー_旧汎用右足",0.0,0,-200,230,-95,55,1,30,250,235,0,0,80,18,100,100,20,100,80,4,0,1,1,0,0
1000,"猟犬_左後足",0.0,0,-30,70,-95,55,1,30,70,55,0,0,0,18,100,100,20,100,80,4,0,1,1,0,0
1001,"猟犬_右後足",0.0,0,-30,70,-95,55,1,30,70,55,0,0,0,18,100,100,20,100,80,4,0,1,1,0,0
1002,"猟犬_左前足",0.0,0,-30,70,-95,55,1,30,70,55,0,0,0,18,100,100,20,100,80,4,0,1,1,0,0
1003,"猟犬_右前足",0.0,0,-30,70,-95,55,1,30,70,55,0,0,0,18,100,100,20,100,80,4,0,1,1,0,0
1010,"司祭_左足",0.0,2,-30,70,-95,55,1,30,70,55,0,0,10,18,100,100,20,100,80,4,0,1,1,0,0
1011,"司祭_右足",0.0,2,-30,70,-95,55,1,30,70,55,0,0,10,18,100,100,20,100,80,4,0,1,1,0,0
1022,"群衆Ａ_首振り設定",0.20000000298023224,0,-30,70,-95,55,1,30,70,55,0,0,0,18,100,100,20,100,80,4,0,1,1,0,60
1030,"群衆Ｂ_左足",0.0,0,-30,70,-95,55,1,30,70,55,0,0,0,18,100,100,20,100,80,4,0,1,1,0,0
1031,"群衆Ｂ_右足",0.0,0,-30,70,-95,55,1,30,70,55,0,0,0,18,100,100,20,100,80,4,0,1,1,0,0
1090,"異形ビースト_左足",0.0,0,-30,70,-95,55,1,30,70,55,0,0,0,18,100,100,20,100,80,4,0,1,1,0,0
1091,"異形ビースト_右足",0.0,0,-30,70,-95,55,1,30,70,55,0,0,0,18,100,100,20,100,80,4,0,1,1,0,0
1092,"異形ビースト_首振り設定",0.20000000298023224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,4,0,1,1,0,180
2000,"ムカデーモン右足",0.0,-10,-200,230,-95,55,1,30,250,235,0,0,80,18,100,100,20,100,80,4,0,1,1,0,0
2001,"ムカデーモン左足",0.0,-10,-200,230,-95,55,1,30,250,235,0,0,80,18,100,100,20,100,80,4,0,1,1,0,0
2010,"ガーゴイル右足",0.0,10,-200,370,-95,55,1,3,250,235,0,0,20,80,100,100,100,100,80,4,0,1,1,0,0
2011,"ガーゴイル左足",0.0,10,-200,370,-95,55,1,3,250,235,0,0,20,80,100,100,100,100,80,4,0,1,1,0,0
