ID,Description,msgId,voiceId,spEffectId0,motionId0,spEffectId1,motionId1,spEffectId2,motionId2,spEffectId3,motionId3,spEffectId4,motionId4,spEffectId5,motionId5,returnPos,reactionId,eventId
1400000,"ああ、狩人様を見つけたのですね",400000,240400000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
1400050,"ああ、狩人様を見つけたのですね",400050,240400050,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
1400100,"はじめまして。狩人様",400100,210400100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
1400101,"私は人形。この夢で、あなたのお世話をするものです",400101,210400101,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
1400102,"狩人様。血の遺志を求めてください",400102,210400102,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
1400103,"私がそれを、普く遺志を、あなたの力といたしましょう",400103,210400103,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
1400104,"獣を狩り…そして何よりも、あなたの意志のために",400104,210400104,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
1400105,"どうか私をお使いください",400105,210400105,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
1400150,"はじめまして。狩人様",400150,210400150,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
1400151,"私は人形。この夢で、あなたのお世話をするものです",400101,210400101,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
1400152,"狩人様。血の遺志を求めてください",400152,210400152,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
1400153,"私がそれを、普く遺志を、あなたの力といたしましょう",400103,210400103,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
1400154,"獣を狩り…そして何よりも、あなたの意志のために",400104,210400104,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
1400155,"どうか私をお使いください",400105,210400105,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
1400200,"お帰りさない。狩人様",400200,210400200,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
1400201,"それでは、なんなりとお申し付けください",400201,210400201,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
1400250,"お帰りさない。狩人様",400250,210400250,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
1400251,"それでは、なんなりとお申し付けください",400201,210400201,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
1400300,"わかりました。では、遺志をあなたの力としましょう",400300,210400300,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
1400301,"少し近づきます。目を閉じていてくださいね",400301,210400301,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
1400400,"いってらっしゃい。狩人様",400400,210400400,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
1400401,"あなたの目覚めが、有意なものでありますように",400401,210400401,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
1400450,"いってらっしゃい。狩人様",400450,210400450,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
