ID,Description,wepParamId,gemSlotType_0,gemGenId_0,gemSlotType_1,gemGenId_1,gemSlotType_2,gemGenId_2,gemSlotType_3,gemGenId_3,gemSlotType_4,gemGenId_4,equipableGemSegmentMask,reserveGemSlotNo_0,reserveGemSlotNo_1,reserveGemSlotNo_2
1000,"【システム】体に魔石スロットをつくるためのダミー武器",1000,1,-1,1,-1,1,-1,2,-1,2147483904,-1,2,0,0,0
1001,"【システム】【gamescom版】【最大MPアップ魔石装備】体に魔石スロットをつくるためのダミー武器",1000,1,6,1,-1,1,-1,2,-1,2147483904,-1,2,0,0,0
1002,"【デバッグ】【DLC確認用】獣変身カレル文字装着用ダミー武器",1000,1,-1,1,-1,1,-1,2,200040,2147483904,-1,2,0,0,0
1003,"【デバッグ】【DLC確認用】なめくじ変身カレル文字装着用ダミー武器",1000,1,-1,1,-1,1,-1,2,200050,2147483904,-1,2,0,0,0
1004,"【デバッグ】【DLC確認用】カレルつき（HP/HP/スタミナ）＋連盟カレル",1000,1,990003,1,-1,1,-1,2,200030,2147483904,-1,2,0,0,0
1005,"【デバッグ】【DLC確認用】カレルつき（HP/HP/スタミナ）+獣",1000,1,990003,1,-1,1,-1,2,200040,2147483904,-1,2,0,0,0
1006,"【デバッグ】【DLC確認用】カレルつき（HP/HP/スタミナ）+なめくじ",1000,1,990003,1,-1,1,-1,2,200050,2147483904,-1,2,0,0,0
1010,"【デバッグ】【DLC確認用】LV75＋連盟（一週目（最初からプレイして、現在想定のレベルのキャラ）",1000,1,100301,1,100302,1,100401,2,200030,2147483904,-1,2,0,0,0
1011,"【デバッグ】【DLC確認用】LV75＋獣一週目（最初からプレイして、現在想定のレベルのキャラ）",1000,1,100301,1,100302,1,100401,2,200040,2147483904,-1,2,0,0,0
1012,"【デバッグ】【DLC確認用】LV75＋なめくじ一週目（最初からプレイして、現在想定のレベルのキャラ）",1000,1,100301,1,100302,1,100401,2,200050,2147483904,-1,2,0,0,0
1020,"【デバッグ】【DLC確認用】LV96＋連盟基準（クリア後くらいのキャラ）",1000,1,100301,1,100302,1,100402,2,200030,2147483904,-1,2,0,0,0
1021,"【デバッグ】【DLC確認用】LV96＋獣基準（クリア後くらいのキャラ）",1000,1,100301,1,100302,1,100402,2,200040,2147483904,-1,2,0,0,0
1022,"【デバッグ】【DLC確認用】LV96＋なめくじ基準（クリア後くらいのキャラ）",1000,1,100301,1,100302,1,100402,2,200050,2147483904,-1,2,0,0,0
1030,"【デバッグ】【DLC確認用】LV120＋連盟対戦厨（対人戦をしてる人）",1000,1,100303,1,100402,1,100502,2,200030,2147483904,-1,2,0,0,0
1031,"【デバッグ】【DLC確認用】LV120＋獣一週目対戦厨（対人戦をしてる人）",1000,1,100303,1,100402,1,100502,2,200040,2147483904,-1,2,0,0,0
1032,"【デバッグ】【DLC確認用】LV120＋なめくじ一週目対戦厨（対人戦をしてる人）",1000,1,100303,1,100402,1,100502,2,200050,2147483904,-1,2,0,0,0
1990,"【デバッグ用】誓約ボディジェム（血族）を付けるためのダミー武器",1000,1,-1,1,-1,1,-1,2,200010,2147483904,-1,2,0,0,0
1991,"【デバッグ用】誓約ボディジェム（血族狩り）を付けるためのダミー武器",1000,1,-1,1,-1,1,-1,2,200000,2147483904,-1,2,0,0,0
1992,"【デバッグ用】誓約ボディジェム（狩人狩り）を付けるためのダミー武器",1000,1,-1,1,-1,1,-1,2,200020,2147483904,-1,2,0,0,0
1993,"【デバッグ用】誓約ボディジェム（連盟）を付けるためのダミー武器",1000,1,-1,1,-1,1,-1,2,200030,2147483904,-1,2,0,0,0
2000,"【システム】アイテム使用時に、PCパラの補正をかけるためのダミー武器",2000,2147483904,-1,2147483904,-1,2147483904,-1,2147483904,-1,2147483904,-1,2,0,0,0
3000,"【システム】投げ用仮想武器",3000,2147483904,-1,2147483904,-1,2147483904,-1,2147483904,-1,2147483904,-1,1,0,0,0
10000,"日本刀＋９_LV75_一週目（最初からプレイして、現在想定のレベルのキャラ）",2000900,1,132000,1,125001,2,127004,2147483904,-1,2147483904,-1,1,0,0,0
10100,"日本刀＋９_LV96_基準（クリア後くらいのキャラ）",2000900,1,132000,1,126001,2,126004,2147483904,-1,2147483904,-1,1,0,0,0
10200,"日本刀＋１０_LV120_対戦厨（対人戦をしてる人）",2001000,1,981000,1,981000,2,981000,2147483904,-1,2147483904,-1,1,0,0,0
11000,"双剣＋９_LV75_一週目（最初からプレイして、現在想定のレベルのキャラ）",4000900,1,132000,2,125001,1,127004,2147483904,-1,2147483904,-1,1,0,0,0
11100,"双剣＋９_LV96_基準（クリア後くらいのキャラ）",4000900,1,132000,2,126001,1,126004,2147483904,-1,2147483904,-1,1,0,0,0
11200,"双剣＋１０_LV120_対戦厨（対人戦をしてる人）",4001000,1,981000,2,981000,1,981000,2147483904,-1,2147483904,-1,1,0,0,0
12000,"斧竿＋９_LV75_一週目（最初からプレイして、現在想定のレベルのキャラ）",5000900,1,132000,1,125001,2,127004,2147483904,-1,2147483904,-1,1,0,0,0
12100,"斧竿＋９_LV96_基準（クリア後くらいのキャラ）",5000900,1,132000,1,126001,2,126004,2147483904,-1,2147483904,-1,1,0,0,0
12200,"斧竿＋１０_LV120_対戦厨（対人戦をしてる人）",5001000,1,981000,1,981000,2,981000,2147483904,-1,2147483904,-1,1,0,0,0
13000,"剣鎌＋９_LV75_一週目（最初からプレイして、現在想定のレベルのキャラ）",5100900,1,132000,4,125001,1,127004,2147483904,-1,2147483904,-1,1,0,0,0
13100,"剣鎌＋９_LV96_基準（クリア後くらいのキャラ）",5100900,1,132000,4,126001,1,127004,2147483904,-1,2147483904,-1,1,0,0,0
13200,"剣鎌＋１０_LV120_対戦厨（対人戦をしてる人）",5101000,1,981002,4,981002,1,981002,2147483904,-1,2147483904,-1,1,0,0,0
14000,"工房長銃＋９_LV75_一週目（最初からプレイして、現在想定のレベルのキャラ）",6000900,8,125000,2147483904,-1,2147483904,-1,2147483904,-1,2147483904,-1,1,0,0,0
14100,"工房長銃＋９_LV96_基準（クリア後くらいのキャラ）",6000900,8,126000,2147483904,-1,2147483904,-1,2147483904,-1,2147483904,-1,1,0,0,0
14200,"工房長銃＋１０_LV120_対戦厨（対人戦をしてる人）",6001000,8,981001,2147483904,-1,2147483904,-1,2147483904,-1,2147483904,-1,1,0,0,0
15000,"教会長銃＋９_LV75_一週目（最初からプレイして、現在想定のレベルのキャラ）",6100900,8,125000,2147483904,-1,2147483904,-1,2147483904,-1,2147483904,-1,1,0,0,0
15100,"教会長銃＋９_LV96_基準（クリア後くらいのキャラ）",6100900,8,126000,2147483904,-1,2147483904,-1,2147483904,-1,2147483904,-1,1,0,0,0
15200,"教会長銃＋１０_LV120_対戦厨（対人戦をしてる人）",6101000,8,981001,2147483904,-1,2147483904,-1,2147483904,-1,2147483904,-1,1,0,0,0
16000,"ノコナタ＋９_LV75_一週目（最初からプレイして、現在想定のレベルのキャラ）",7000900,1,132000,1,125001,4,127004,2147483904,-1,2147483904,-1,1,0,0,0
16100,"ノコナタ＋９_LV96_基準（クリア後くらいのキャラ）",7000900,1,132000,1,126001,4,126004,2147483904,-1,2147483904,-1,1,0,0,0
16200,"ノコナタ＋１０_LV120_対戦厨（対人戦をしてる人）",7001000,1,981000,1,981000,4,981000,2147483904,-1,2147483904,-1,1,0,0,0
17000,"ノコ槍＋９_LV75_一週目（最初からプレイして、現在想定のレベルのキャラ）",7100900,1,132000,1,125001,4,127004,2147483904,-1,2147483904,-1,1,0,0,0
